Date,Council,Positive_Cases_per_LA
2021-01-31,Angus,21
2021-01-31,Argyll & Bute,15
2021-01-31,City of Edinburgh,52
2021-01-31,Clackmannanshire,16
2021-01-31,Dumfries & Galloway,17
2021-01-31,Dundee City,21
2021-01-31,East Ayrshire,28
2021-01-31,East Dunbartonshire,20
2021-01-31,East Lothian,15
2021-01-31,East Renfrewshire,19
2021-01-31,Falkirk,54
2021-01-31,Fife,32
2021-01-31,Glasgow City,149
2021-01-31,Highland,22
2021-01-31,Inverclyde,12
2021-01-31,Midlothian,13
2021-01-31,Moray,11
2021-01-31,Na h-Eileanan Siar,4
2021-01-31,North Ayrshire,24
2021-01-31,North Lanarkshire,89
2021-01-31,Orkney Islands,0
2021-01-31,Perth & Kinross,14
2021-01-31,Renfrewshire,40
2021-01-31,Scottish Borders,8
2021-01-31,Shetland Islands,0
2021-01-31,South Ayrshire,18
2021-01-31,South Lanarkshire,69
2021-01-31,Stirling,21
2021-01-31,West Dunbartonshire,23
2021-01-31,West Lothian,30
2021-02-01,Aberdeen City,17
2021-02-01,Aberdeenshire,21
2021-02-01,Angus,18
2021-02-01,Argyll & Bute,15
2021-02-01,City of Edinburgh,53
2021-02-01,Clackmannanshire,16
2021-02-01,Dumfries & Galloway,19
2021-02-01,Dundee City,19
2021-02-01,East Ayrshire,28
2021-02-01,East Dunbartonshire,17
2021-02-01,East Lothian,15
2021-02-01,East Renfrewshire,19
2021-02-01,Falkirk,53
2021-02-01,Fife,31
2021-02-01,Glasgow City,144
2021-02-01,Highland,20
2021-02-01,Inverclyde,12
2021-02-01,Midlothian,14
2021-02-01,Moray,11
2021-02-01,Na h-Eileanan Siar,4
2021-02-01,North Ayrshire,25
2021-02-01,North Lanarkshire,86
2021-02-01,Orkney Islands,0
2021-02-01,Perth & Kinross,15
2021-02-01,Renfrewshire,36
2021-02-01,Scottish Borders,8
2021-02-01,Shetland Islands,0
2021-02-01,South Ayrshire,18
2021-02-01,South Lanarkshire,69
2021-02-01,Stirling,23
2021-02-01,West Dunbartonshire,23
2021-02-01,West Lothian,32
2021-02-02,Aberdeen City,15
2021-02-02,Aberdeenshire,18
2021-02-02,Angus,16
2021-02-02,Argyll & Bute,12
2021-02-02,City of Edinburgh,49
2021-02-02,Clackmannanshire,16
2021-02-02,Dumfries & Galloway,20
2021-02-02,Dundee City,16
2021-02-02,East Ayrshire,35
2021-02-02,East Dunbartonshire,17
2021-02-02,East Lothian,13
2021-02-02,East Renfrewshire,17
2021-02-02,Falkirk,45
2021-02-02,Fife,27
2021-02-02,Glasgow City,140
2021-02-02,Highland,21
2021-02-02,Inverclyde,11
2021-02-02,Midlothian,14
2021-02-02,Moray,9
2021-02-02,Na h-Eileanan Siar,4
2021-02-02,North Ayrshire,25
2021-02-02,North Lanarkshire,82
2021-02-02,Orkney Islands,0
2021-02-02,Perth & Kinross,13
2021-02-02,Renfrewshire,37
2021-02-02,Scottish Borders,6
2021-02-02,Shetland Islands,0
2021-02-02,South Ayrshire,16
2021-02-02,South Lanarkshire,68
2021-02-02,Stirling,22
2021-02-02,West Dunbartonshire,25
2021-02-02,West Lothian,28
2021-02-03,Aberdeen City,14
2021-02-03,Aberdeenshire,17
2021-02-03,Angus,14
2021-02-03,Argyll & Bute,11
2021-02-03,City of Edinburgh,46
2021-02-03,Clackmannanshire,16
2021-02-03,Dumfries & Galloway,21
2021-02-03,Dundee City,12
2021-02-03,East Ayrshire,45
2021-02-03,East Dunbartonshire,16
2021-02-03,East Lothian,12
2021-02-03,East Renfrewshire,14
2021-02-03,Falkirk,44
2021-02-03,Fife,27
2021-02-03,Glasgow City,135
2021-02-03,Highland,21
2021-02-03,Inverclyde,12
2021-02-03,Midlothian,13
2021-02-03,Moray,10
2021-02-03,Na h-Eileanan Siar,4
2021-02-03,North Ayrshire,25
2021-02-03,North Lanarkshire,80
2021-02-03,Orkney Islands,1
2021-02-03,Perth & Kinross,14
2021-02-03,Renfrewshire,37
2021-02-03,Scottish Borders,6
2021-02-03,Shetland Islands,0
2021-02-03,South Ayrshire,16
2021-02-03,South Lanarkshire,69
2021-02-03,Stirling,22
2021-02-03,West Dunbartonshire,24
2021-02-03,West Lothian,28
2021-02-04,Aberdeen City,13
2021-02-04,Aberdeenshire,18
2021-02-04,Angus,11
2021-02-04,Argyll & Bute,10
2021-02-04,City of Edinburgh,47
2021-02-04,Clackmannanshire,16
2021-02-04,Dumfries & Galloway,19
2021-02-04,Dundee City,10
2021-02-04,East Ayrshire,49
2021-02-04,East Dunbartonshire,14
2021-02-04,East Lothian,12
2021-02-04,East Renfrewshire,16
2021-02-04,Falkirk,44
2021-02-04,Fife,28
2021-02-04,Glasgow City,132
2021-02-04,Highland,20
2021-02-04,Inverclyde,11
2021-02-04,Midlothian,13
2021-02-04,Moray,9
2021-02-04,Na h-Eileanan Siar,4
2021-02-04,North Ayrshire,26
2021-02-04,North Lanarkshire,81
2021-02-04,Orkney Islands,1
2021-02-04,Perth & Kinross,16
2021-02-04,Renfrewshire,38
2021-02-04,Scottish Borders,5
2021-02-04,Shetland Islands,0
2021-02-04,South Ayrshire,15
2021-02-04,South Lanarkshire,70
2021-02-04,Stirling,21
2021-02-04,West Dunbartonshire,25
2021-02-04,West Lothian,26
2021-02-05,Aberdeen City,12
2021-02-05,Aberdeenshire,17
2021-02-05,Angus,9
2021-02-05,Argyll & Bute,10
2021-02-05,City of Edinburgh,44
2021-02-05,Clackmannanshire,17
2021-02-05,Dumfries & Galloway,18
2021-02-05,Dundee City,8
2021-02-05,East Ayrshire,54
2021-02-05,East Dunbartonshire,12
2021-02-05,East Lothian,11
2021-02-05,East Renfrewshire,16
2021-02-05,Falkirk,46
2021-02-05,Fife,28
2021-02-05,Glasgow City,129
2021-02-05,Highland,18
2021-02-05,Inverclyde,11
2021-02-05,Midlothian,12
2021-02-05,Moray,10
2021-02-05,Na h-Eileanan Siar,3
2021-02-05,North Ayrshire,26
2021-02-05,North Lanarkshire,78
2021-02-05,Orkney Islands,1
2021-02-05,Perth & Kinross,13
2021-02-05,Renfrewshire,40
2021-02-05,Scottish Borders,5
2021-02-05,Shetland Islands,0
2021-02-05,South Ayrshire,14
2021-02-05,South Lanarkshire,66
2021-02-05,Stirling,20
2021-02-05,West Dunbartonshire,28
2021-02-05,West Lothian,37
2021-02-06,Aberdeen City,12
2021-02-06,Aberdeenshire,17
2021-02-06,Angus,8
2021-02-06,Argyll & Bute,9
2021-02-06,City of Edinburgh,43
2021-02-06,Clackmannanshire,16
2021-02-06,Dumfries & Galloway,15
2021-02-06,Dundee City,8
2021-02-06,East Ayrshire,53
2021-02-06,East Dunbartonshire,10
2021-02-06,East Lothian,9
2021-02-06,East Renfrewshire,15
2021-02-06,Falkirk,44
2021-02-06,Fife,29
2021-02-06,Glasgow City,120
2021-02-06,Highland,19
2021-02-06,Inverclyde,11
2021-02-06,Midlothian,12
2021-02-06,Moray,9
2021-02-06,Na h-Eileanan Siar,3
2021-02-06,North Ayrshire,25
2021-02-06,North Lanarkshire,72
2021-02-06,Orkney Islands,1
2021-02-06,Perth & Kinross,13
2021-02-06,Renfrewshire,40
2021-02-06,Scottish Borders,5
2021-02-06,Shetland Islands,0
2021-02-06,South Ayrshire,12
2021-02-06,South Lanarkshire,66
2021-02-06,Stirling,21
2021-02-06,West Dunbartonshire,29
2021-02-06,West Lothian,42
2021-02-07,Aberdeen City,11
2021-02-07,Aberdeenshire,15
2021-02-07,Angus,8
2021-02-07,Argyll & Bute,7
2021-02-07,City of Edinburgh,46
2021-02-07,Clackmannanshire,18
2021-02-07,Dumfries & Galloway,15
2021-02-07,Dundee City,8
2021-02-07,East Ayrshire,53
2021-02-07,East Dunbartonshire,9
2021-02-07,East Lothian,9
2021-02-07,East Renfrewshire,14
2021-02-07,Falkirk,44
2021-02-07,Fife,31
2021-02-07,Glasgow City,118
2021-02-07,Highland,19
2021-02-07,Inverclyde,11
2021-02-07,Midlothian,14
2021-02-07,Moray,9
2021-02-07,Na h-Eileanan Siar,4
2021-02-07,North Ayrshire,26
2021-02-07,North Lanarkshire,73
2021-02-07,Orkney Islands,1
2021-02-07,Perth & Kinross,13
2021-02-07,Renfrewshire,42
2021-02-07,Scottish Borders,5
2021-02-07,Shetland Islands,0
2021-02-07,South Ayrshire,11
2021-02-07,South Lanarkshire,64
2021-02-07,Stirling,21
2021-02-07,West Dunbartonshire,28
2021-02-07,West Lothian,46
2021-02-08,Aberdeen City,11
2021-02-08,Aberdeenshire,14
2021-02-08,Angus,9
2021-02-08,Argyll & Bute,5
2021-02-08,City of Edinburgh,47
2021-02-08,Clackmannanshire,17
2021-02-08,Dumfries & Galloway,14
2021-02-08,Dundee City,8
2021-02-08,East Ayrshire,55
2021-02-08,East Dunbartonshire,10
2021-02-08,East Lothian,9
2021-02-08,East Renfrewshire,14
2021-02-08,Falkirk,45
2021-02-08,Fife,32
2021-02-08,Glasgow City,116
2021-02-08,Highland,19
2021-02-08,Inverclyde,9
2021-02-08,Midlothian,14
2021-02-08,Moray,10
2021-02-08,Na h-Eileanan Siar,3
2021-02-08,North Ayrshire,25
2021-02-08,North Lanarkshire,73
2021-02-08,Orkney Islands,1
2021-02-08,Perth & Kinross,14
2021-02-08,Renfrewshire,45
2021-02-08,Scottish Borders,4
2021-02-08,Shetland Islands,0
2021-02-08,South Ayrshire,10
2021-02-08,South Lanarkshire,62
2021-02-08,Stirling,20
2021-02-08,West Dunbartonshire,27
2021-02-08,West Lothian,46
2021-02-09,Aberdeen City,10
2021-02-09,Aberdeenshire,14
2021-02-09,Angus,9
2021-02-09,Argyll & Bute,5
2021-02-09,City of Edinburgh,53
2021-02-09,Clackmannanshire,15
2021-02-09,Dumfries & Galloway,12
2021-02-09,Dundee City,10
2021-02-09,East Ayrshire,49
2021-02-09,East Dunbartonshire,9
2021-02-09,East Lothian,11
2021-02-09,East Renfrewshire,15
2021-02-09,Falkirk,51
2021-02-09,Fife,35
2021-02-09,Glasgow City,117
2021-02-09,Highland,18
2021-02-09,Inverclyde,9
2021-02-09,Midlothian,14
2021-02-09,Moray,10
2021-02-09,Na h-Eileanan Siar,3
2021-02-09,North Ayrshire,24
2021-02-09,North Lanarkshire,78
2021-02-09,Orkney Islands,1
2021-02-09,Perth & Kinross,14
2021-02-09,Renfrewshire,45
2021-02-09,Scottish Borders,5
2021-02-09,Shetland Islands,0
2021-02-09,South Ayrshire,10
2021-02-09,South Lanarkshire,64
2021-02-09,Stirling,22
2021-02-09,West Dunbartonshire,25
2021-02-09,West Lothian,53
2021-02-10,Aberdeen City,10
2021-02-10,Aberdeenshire,13
2021-02-10,Angus,9
2021-02-10,Argyll & Bute,5
2021-02-10,City of Edinburgh,59
2021-02-10,Clackmannanshire,16
2021-02-10,Dumfries & Galloway,11
2021-02-10,Dundee City,11
2021-02-10,East Ayrshire,39
2021-02-10,East Dunbartonshire,10
2021-02-10,East Lothian,11
2021-02-10,East Renfrewshire,17
2021-02-10,Falkirk,53
2021-02-10,Fife,36
2021-02-10,Glasgow City,118
2021-02-10,Highland,17
2021-02-10,Inverclyde,7
2021-02-10,Midlothian,14
2021-02-10,Moray,9
2021-02-10,Na h-Eileanan Siar,3
2021-02-10,North Ayrshire,23
2021-02-10,North Lanarkshire,82
2021-02-10,Orkney Islands,0
2021-02-10,Perth & Kinross,14
2021-02-10,Renfrewshire,42
2021-02-10,Scottish Borders,4
2021-02-10,Shetland Islands,0
2021-02-10,South Ayrshire,10
2021-02-10,South Lanarkshire,60
2021-02-10,Stirling,21
2021-02-10,West Dunbartonshire,25
2021-02-10,West Lothian,55
2021-02-11,Aberdeen City,10
2021-02-11,Aberdeenshire,13
2021-02-11,Angus,9
2021-02-11,Argyll & Bute,5
2021-02-11,City of Edinburgh,63
2021-02-11,Clackmannanshire,15
2021-02-11,Dumfries & Galloway,12
2021-02-11,Dundee City,11
2021-02-11,East Ayrshire,36
2021-02-11,East Dunbartonshire,11
2021-02-11,East Lothian,12
2021-02-11,East Renfrewshire,17
2021-02-11,Falkirk,50
2021-02-11,Fife,38
2021-02-11,Glasgow City,118
2021-02-11,Highland,17
2021-02-11,Inverclyde,6
2021-02-11,Midlothian,15
2021-02-11,Moray,10
2021-02-11,Na h-Eileanan Siar,2
2021-02-11,North Ayrshire,24
2021-02-11,North Lanarkshire,84
2021-02-11,Orkney Islands,0
2021-02-11,Perth & Kinross,12
2021-02-11,Renfrewshire,41
2021-02-11,Scottish Borders,6
2021-02-11,Shetland Islands,0
2021-02-11,South Ayrshire,10
2021-02-11,South Lanarkshire,60
2021-02-11,Stirling,20
2021-02-11,West Dunbartonshire,25
2021-02-11,West Lothian,59
2021-02-12,Aberdeen City,9
2021-02-12,Aberdeenshire,12
2021-02-12,Angus,9
2021-02-12,Argyll & Bute,4
2021-02-12,City of Edinburgh,68
2021-02-12,Clackmannanshire,13
2021-02-12,Dumfries & Galloway,11
2021-02-12,Dundee City,11
2021-02-12,East Ayrshire,31
2021-02-12,East Dunbartonshire,12
2021-02-12,East Lothian,14
2021-02-12,East Renfrewshire,17
2021-02-12,Falkirk,49
2021-02-12,Fife,39
2021-02-12,Glasgow City,122
2021-02-12,Highland,19
2021-02-12,Inverclyde,6
2021-02-12,Midlothian,18
2021-02-12,Moray,10
2021-02-12,Na h-Eileanan Siar,2
2021-02-12,North Ayrshire,25
2021-02-12,North Lanarkshire,86
2021-02-12,Orkney Islands,0
2021-02-12,Perth & Kinross,13
2021-02-12,Renfrewshire,41
2021-02-12,Scottish Borders,7
2021-02-12,Shetland Islands,0
2021-02-12,South Ayrshire,10
2021-02-12,South Lanarkshire,58
2021-02-12,Stirling,20
2021-02-12,West Dunbartonshire,24
2021-02-12,West Lothian,52
2021-02-13,Aberdeen City,8
2021-02-13,Aberdeenshire,14
2021-02-13,Angus,9
2021-02-13,Argyll & Bute,4
2021-02-13,City of Edinburgh,71
2021-02-13,Clackmannanshire,13
2021-02-13,Dumfries & Galloway,11
2021-02-13,Dundee City,12
2021-02-13,East Ayrshire,32
2021-02-13,East Dunbartonshire,13
2021-02-13,East Lothian,16
2021-02-13,East Renfrewshire,18
2021-02-13,Falkirk,52
2021-02-13,Fife,39
2021-02-13,Glasgow City,127
2021-02-13,Highland,17
2021-02-13,Inverclyde,6
2021-02-13,Midlothian,19
2021-02-13,Moray,10
2021-02-13,Na h-Eileanan Siar,2
2021-02-13,North Ayrshire,25
2021-02-13,North Lanarkshire,89
2021-02-13,Orkney Islands,0
2021-02-13,Perth & Kinross,13
2021-02-13,Renfrewshire,40
2021-02-13,Scottish Borders,6
2021-02-13,Shetland Islands,0
2021-02-13,South Ayrshire,10
2021-02-13,South Lanarkshire,60
2021-02-13,Stirling,18
2021-02-13,West Dunbartonshire,24
2021-02-13,West Lothian,50
2021-02-14,Aberdeen City,9
2021-02-14,Aberdeenshire,14
2021-02-14,Angus,9
2021-02-14,Argyll & Bute,3
2021-02-14,City of Edinburgh,71
2021-02-14,Clackmannanshire,12
2021-02-14,Dumfries & Galloway,12
2021-02-14,Dundee City,12
2021-02-14,East Ayrshire,31
2021-02-14,East Dunbartonshire,15
2021-02-14,East Lothian,16
2021-02-14,East Renfrewshire,18
2021-02-14,Falkirk,51
2021-02-14,Fife,37
2021-02-14,Glasgow City,129
2021-02-14,Highland,18
2021-02-14,Inverclyde,6
2021-02-14,Midlothian,18
2021-02-14,Moray,10
2021-02-14,Na h-Eileanan Siar,2
2021-02-14,North Ayrshire,25
2021-02-14,North Lanarkshire,87
2021-02-14,Orkney Islands,0
2021-02-14,Perth & Kinross,13
2021-02-14,Renfrewshire,38
2021-02-14,Scottish Borders,6
2021-02-14,Shetland Islands,0
2021-02-14,South Ayrshire,11
2021-02-14,South Lanarkshire,60
2021-02-14,Stirling,19
2021-02-14,West Dunbartonshire,22
2021-02-14,West Lothian,47
2021-02-15,Aberdeen City,8
2021-02-15,Aberdeenshire,13
2021-02-15,Angus,9
2021-02-15,Argyll & Bute,3
2021-02-15,City of Edinburgh,70
2021-02-15,Clackmannanshire,12
2021-02-15,Dumfries & Galloway,11
2021-02-15,Dundee City,13
2021-02-15,East Ayrshire,25
2021-02-15,East Dunbartonshire,15
2021-02-15,East Lothian,16
2021-02-15,East Renfrewshire,17
2021-02-15,Falkirk,50
2021-02-15,Fife,37
2021-02-15,Glasgow City,130
2021-02-15,Highland,18
2021-02-15,Inverclyde,4
2021-02-15,Midlothian,17
2021-02-15,Moray,7
2021-02-15,Na h-Eileanan Siar,2
2021-02-15,North Ayrshire,23
2021-02-15,North Lanarkshire,85
2021-02-15,Orkney Islands,0
2021-02-15,Perth & Kinross,12
2021-02-15,Renfrewshire,33
2021-02-15,Scottish Borders,6
2021-02-15,Shetland Islands,0
2021-02-15,South Ayrshire,11
2021-02-15,South Lanarkshire,59
2021-02-15,Stirling,19
2021-02-15,West Dunbartonshire,23
2021-02-15,West Lothian,46
2021-02-16,Aberdeen City,9
2021-02-16,Aberdeenshire,12
2021-02-16,Angus,8
2021-02-16,Argyll & Bute,2
2021-02-16,City of Edinburgh,66
2021-02-16,Clackmannanshire,12
2021-02-16,Dumfries & Galloway,11
2021-02-16,Dundee City,12
2021-02-16,East Ayrshire,25
2021-02-16,East Dunbartonshire,15
2021-02-16,East Lothian,17
2021-02-16,East Renfrewshire,16
2021-02-16,Falkirk,46
2021-02-16,Fife,37
2021-02-16,Glasgow City,128
2021-02-16,Highland,16
2021-02-16,Inverclyde,5
2021-02-16,Midlothian,18
2021-02-16,Moray,7
2021-02-16,Na h-Eileanan Siar,2
2021-02-16,North Ayrshire,23
2021-02-16,North Lanarkshire,81
2021-02-16,Orkney Islands,0
2021-02-16,Perth & Kinross,12
2021-02-16,Renfrewshire,33
2021-02-16,Scottish Borders,5
2021-02-16,Shetland Islands,0
2021-02-16,South Ayrshire,10
2021-02-16,South Lanarkshire,54
2021-02-16,Stirling,18
2021-02-16,West Dunbartonshire,22
2021-02-16,West Lothian,42
2021-02-17,Aberdeen City,9
2021-02-17,Aberdeenshire,11
2021-02-17,Angus,8
2021-02-17,Argyll & Bute,1
2021-02-17,City of Edinburgh,63
2021-02-17,Clackmannanshire,11
2021-02-17,Dumfries & Galloway,9
2021-02-17,Dundee City,11
2021-02-17,East Ayrshire,23
2021-02-17,East Dunbartonshire,15
2021-02-17,East Lothian,17
2021-02-17,East Renfrewshire,14
2021-02-17,Falkirk,44
2021-02-17,Fife,36
2021-02-17,Glasgow City,126
2021-02-17,Highland,16
2021-02-17,Inverclyde,6
2021-02-17,Midlothian,18
2021-02-17,Moray,7
2021-02-17,Na h-Eileanan Siar,1
2021-02-17,North Ayrshire,22
2021-02-17,North Lanarkshire,76
2021-02-17,Orkney Islands,0
2021-02-17,Perth & Kinross,13
2021-02-17,Renfrewshire,34
2021-02-17,Scottish Borders,5
2021-02-17,Shetland Islands,0
2021-02-17,South Ayrshire,11
2021-02-17,South Lanarkshire,54
2021-02-17,Stirling,20
2021-02-17,West Dunbartonshire,21
2021-02-17,West Lothian,41
2021-02-18,Aberdeen City,8
2021-02-18,Aberdeenshire,11
2021-02-18,Angus,9
2021-02-18,Argyll & Bute,1
2021-02-18,City of Edinburgh,58
2021-02-18,Clackmannanshire,11
2021-02-18,Dumfries & Galloway,8
2021-02-18,Dundee City,14
2021-02-18,East Ayrshire,21
2021-02-18,East Dunbartonshire,14
2021-02-18,East Lothian,18
2021-02-18,East Renfrewshire,14
2021-02-18,Falkirk,44
2021-02-18,Fife,34
2021-02-18,Glasgow City,121
2021-02-18,Highland,14
2021-02-18,Inverclyde,6
2021-02-18,Midlothian,17
2021-02-18,Moray,6
2021-02-18,Na h-Eileanan Siar,1
2021-02-18,North Ayrshire,19
2021-02-18,North Lanarkshire,71
2021-02-18,Orkney Islands,0
2021-02-18,Perth & Kinross,14
2021-02-18,Renfrewshire,34
2021-02-18,Scottish Borders,4
2021-02-18,Shetland Islands,0
2021-02-18,South Ayrshire,11
2021-02-18,South Lanarkshire,50
2021-02-18,Stirling,21
2021-02-18,West Dunbartonshire,20
2021-02-18,West Lothian,37
2021-02-19,Aberdeen City,9
2021-02-19,Aberdeenshire,9
2021-02-19,Angus,9
2021-02-19,Argyll & Bute,1
2021-02-19,City of Edinburgh,52
2021-02-19,Clackmannanshire,10
2021-02-19,Dumfries & Galloway,8
2021-02-19,Dundee City,14
2021-02-19,East Ayrshire,18
2021-02-19,East Dunbartonshire,14
2021-02-19,East Lothian,16
2021-02-19,East Renfrewshire,12
2021-02-19,Falkirk,39
2021-02-19,Fife,33
2021-02-19,Glasgow City,113
2021-02-19,Highland,11
2021-02-19,Inverclyde,6
2021-02-19,Midlothian,15
2021-02-19,Moray,5
2021-02-19,Na h-Eileanan Siar,1
2021-02-19,North Ayrshire,16
2021-02-19,North Lanarkshire,66
2021-02-19,Orkney Islands,0
2021-02-19,Perth & Kinross,14
2021-02-19,Renfrewshire,32
2021-02-19,Scottish Borders,3
2021-02-19,Shetland Islands,0
2021-02-19,South Ayrshire,9
2021-02-19,South Lanarkshire,47
2021-02-19,Stirling,21
2021-02-19,West Dunbartonshire,18
2021-02-19,West Lothian,35
2021-02-20,Aberdeen City,10
2021-02-20,Aberdeenshire,7
2021-02-20,Angus,8
2021-02-20,Argyll & Bute,2
2021-02-20,City of Edinburgh,48
2021-02-20,Clackmannanshire,10
2021-02-20,Dumfries & Galloway,7
2021-02-20,Dundee City,15
2021-02-20,East Ayrshire,16
2021-02-20,East Dunbartonshire,12
2021-02-20,East Lothian,14
2021-02-20,East Renfrewshire,11
2021-02-20,Falkirk,37
2021-02-20,Fife,32
2021-02-20,Glasgow City,108
2021-02-20,Highland,11
2021-02-20,Inverclyde,6
2021-02-20,Midlothian,13
2021-02-20,Moray,5
2021-02-20,Na h-Eileanan Siar,1
2021-02-20,North Ayrshire,14
2021-02-20,North Lanarkshire,62
2021-02-20,Orkney Islands,0
2021-02-20,Perth & Kinross,13
2021-02-20,Renfrewshire,32
2021-02-20,Scottish Borders,3
2021-02-20,Shetland Islands,0
2021-02-20,South Ayrshire,9
2021-02-20,South Lanarkshire,44
2021-02-20,Stirling,22
2021-02-20,West Dunbartonshire,16
2021-02-20,West Lothian,33
2021-02-21,Aberdeen City,9
2021-02-21,Aberdeenshire,7
2021-02-21,Angus,7
2021-02-21,Argyll & Bute,2
2021-02-21,City of Edinburgh,46
2021-02-21,Clackmannanshire,9
2021-02-21,Dumfries & Galloway,6
2021-02-21,Dundee City,15
2021-02-21,East Ayrshire,14
2021-02-21,East Dunbartonshire,11
2021-02-21,East Lothian,14
2021-02-21,East Renfrewshire,11
2021-02-21,Falkirk,37
2021-02-21,Fife,31
2021-02-21,Glasgow City,104
2021-02-21,Highland,9
2021-02-21,Inverclyde,6
2021-02-21,Midlothian,12
2021-02-21,Moray,5
2021-02-21,Na h-Eileanan Siar,1
2021-02-21,North Ayrshire,13
2021-02-21,North Lanarkshire,59
2021-02-21,Orkney Islands,0
2021-02-21,Perth & Kinross,12
2021-02-21,Renfrewshire,31
2021-02-21,Scottish Borders,3
2021-02-21,Shetland Islands,0
2021-02-21,South Ayrshire,8
2021-02-21,South Lanarkshire,44
2021-02-21,Stirling,20
2021-02-21,West Dunbartonshire,15
2021-02-21,West Lothian,33
2021-02-22,Aberdeen City,9
2021-02-22,Aberdeenshire,6
2021-02-22,Angus,8
2021-02-22,Argyll & Bute,3
2021-02-22,City of Edinburgh,44
2021-02-22,Clackmannanshire,11
2021-02-22,Dumfries & Galloway,5
2021-02-22,Dundee City,14
2021-02-22,East Ayrshire,14
2021-02-22,East Dunbartonshire,10
2021-02-22,East Lothian,13
2021-02-22,East Renfrewshire,12
2021-02-22,Falkirk,33
2021-02-22,Fife,28
2021-02-22,Glasgow City,96
2021-02-22,Highland,9
2021-02-22,Inverclyde,6
2021-02-22,Midlothian,12
2021-02-22,Moray,5
2021-02-22,Na h-Eileanan Siar,1
2021-02-22,North Ayrshire,14
2021-02-22,North Lanarkshire,55
2021-02-22,Orkney Islands,0
2021-02-22,Perth & Kinross,11
2021-02-22,Renfrewshire,29
2021-02-22,Scottish Borders,3
2021-02-22,Shetland Islands,0
2021-02-22,South Ayrshire,7
2021-02-22,South Lanarkshire,43
2021-02-22,Stirling,19
2021-02-22,West Dunbartonshire,13
2021-02-22,West Lothian,31
2021-02-23,Aberdeen City,8
2021-02-23,Aberdeenshire,6
2021-02-23,Angus,8
2021-02-23,Argyll & Bute,3
2021-02-23,City of Edinburgh,39
2021-02-23,Clackmannanshire,12
2021-02-23,Dumfries & Galloway,3
2021-02-23,Dundee City,14
2021-02-23,East Ayrshire,12
2021-02-23,East Dunbartonshire,9
2021-02-23,East Lothian,12
2021-02-23,East Renfrewshire,11
2021-02-23,Falkirk,32
2021-02-23,Fife,25
2021-02-23,Glasgow City,94
2021-02-23,Highland,10
2021-02-23,Inverclyde,5
2021-02-23,Midlothian,11
2021-02-23,Moray,5
2021-02-23,Na h-Eileanan Siar,1
2021-02-23,North Ayrshire,15
2021-02-23,North Lanarkshire,54
2021-02-23,Orkney Islands,0
2021-02-23,Perth & Kinross,10
2021-02-23,Renfrewshire,27
2021-02-23,Scottish Borders,3
2021-02-23,Shetland Islands,0
2021-02-23,South Ayrshire,6
2021-02-23,South Lanarkshire,42
2021-02-23,Stirling,18
2021-02-23,West Dunbartonshire,11
2021-02-23,West Lothian,30
2021-02-24,Aberdeen City,9
2021-02-24,Aberdeenshire,7
2021-02-24,Angus,8
2021-02-24,Argyll & Bute,3
2021-02-24,City of Edinburgh,35
2021-02-24,Clackmannanshire,11
2021-02-24,Dumfries & Galloway,3
2021-02-24,Dundee City,15
2021-02-24,East Ayrshire,11
2021-02-24,East Dunbartonshire,7
2021-02-24,East Lothian,10
2021-02-24,East Renfrewshire,11
2021-02-24,Falkirk,30
2021-02-24,Fife,21
2021-02-24,Glasgow City,95
2021-02-24,Highland,11
2021-02-24,Inverclyde,3
2021-02-24,Midlothian,11
2021-02-24,Moray,5
2021-02-24,Na h-Eileanan Siar,1
2021-02-24,North Ayrshire,16
2021-02-24,North Lanarkshire,50
2021-02-24,Orkney Islands,0
2021-02-24,Perth & Kinross,9
2021-02-24,Renfrewshire,22
2021-02-24,Scottish Borders,3
2021-02-24,Shetland Islands,0
2021-02-24,South Ayrshire,4
2021-02-24,South Lanarkshire,39
2021-02-24,Stirling,17
2021-02-24,West Dunbartonshire,9
2021-02-24,West Lothian,29
2021-02-25,Aberdeen City,10
2021-02-25,Aberdeenshire,6
2021-02-25,Angus,8
2021-02-25,Argyll & Bute,2
2021-02-25,City of Edinburgh,31
2021-02-25,Clackmannanshire,11
2021-02-25,Dumfries & Galloway,4
2021-02-25,Dundee City,15
2021-02-25,East Ayrshire,9
2021-02-25,East Dunbartonshire,7
2021-02-25,East Lothian,9
2021-02-25,East Renfrewshire,12
2021-02-25,Falkirk,28
2021-02-25,Fife,23
2021-02-25,Glasgow City,98
2021-02-25,Highland,11
2021-02-25,Inverclyde,3
2021-02-25,Midlothian,10
2021-02-25,Moray,5
2021-02-25,Na h-Eileanan Siar,1
2021-02-25,North Ayrshire,17
2021-02-25,North Lanarkshire,52
2021-02-25,Orkney Islands,0
2021-02-25,Perth & Kinross,9
2021-02-25,Renfrewshire,20
2021-02-25,Scottish Borders,3
2021-02-25,Shetland Islands,0
2021-02-25,South Ayrshire,4
2021-02-25,South Lanarkshire,38
2021-02-25,Stirling,16
2021-02-25,West Dunbartonshire,7
2021-02-25,West Lothian,29
2021-02-26,Aberdeen City,11
2021-02-26,Aberdeenshire,7
2021-02-26,Angus,8
2021-02-26,Argyll & Bute,2
2021-02-26,City of Edinburgh,30
2021-02-26,Clackmannanshire,11
2021-02-26,Dumfries & Galloway,3
2021-02-26,Dundee City,15
2021-02-26,East Ayrshire,9
