Date,Council,Deaths_per_LA
2021-01-31,Angus,1
2021-01-31,Argyll & Bute,1
2021-01-31,City of Edinburgh,2
2021-01-31,Clackmannanshire,1
2021-01-31,Dumfries & Galloway,1
2021-01-31,Dundee City,1
2021-01-31,East Ayrshire,1
2021-01-31,East Dunbartonshire,1
2021-01-31,East Lothian,0
2021-01-31,East Renfrewshire,1
2021-01-31,Falkirk,2
2021-01-31,Fife,1
2021-01-31,Glasgow City,4
2021-01-31,Highland,0
2021-01-31,Inverclyde,1
2021-01-31,Midlothian,0
2021-01-31,Moray,0
2021-01-31,Na h-Eileanan Siar,0
2021-01-31,North Ayrshire,2
2021-01-31,North Lanarkshire,3
2021-01-31,Orkney Islands,0
2021-01-31,Perth & Kinross,1
2021-01-31,Renfrewshire,4
2021-01-31,Scottish Borders,1
2021-01-31,Shetland Islands,0
2021-01-31,South Ayrshire,1
2021-01-31,South Lanarkshire,4
2021-01-31,Stirling,1
2021-01-31,West Dunbartonshire,1
2021-01-31,West Lothian,0
2021-02-01,Aberdeen City,1
2021-02-01,Aberdeenshire,0
2021-02-01,Angus,1
2021-02-01,Argyll & Bute,1
2021-02-01,City of Edinburgh,2
2021-02-01,Clackmannanshire,1
2021-02-01,Dumfries & Galloway,1
2021-02-01,Dundee City,1
2021-02-01,East Ayrshire,1
2021-02-01,East Dunbartonshire,1
2021-02-01,East Lothian,0
2021-02-01,East Renfrewshire,1
2021-02-01,Falkirk,2
2021-02-01,Fife,1
2021-02-01,Glasgow City,4
2021-02-01,Highland,0
2021-02-01,Inverclyde,1
2021-02-01,Midlothian,0
2021-02-01,Moray,0
2021-02-01,Na h-Eileanan Siar,0
2021-02-01,North Ayrshire,2
2021-02-01,North Lanarkshire,3
2021-02-01,Orkney Islands,0
2021-02-01,Perth & Kinross,2
2021-02-01,Renfrewshire,3
2021-02-01,Scottish Borders,1
2021-02-01,Shetland Islands,0
2021-02-01,South Ayrshire,1
2021-02-01,South Lanarkshire,3
2021-02-01,Stirling,1
2021-02-01,West Dunbartonshire,1
2021-02-01,West Lothian,1
2021-02-02,Aberdeen City,0
2021-02-02,Aberdeenshire,0
2021-02-02,Angus,1
2021-02-02,Argyll & Bute,1
2021-02-02,City of Edinburgh,2
2021-02-02,Clackmannanshire,1
2021-02-02,Dumfries & Galloway,0
2021-02-02,Dundee City,0
2021-02-02,East Ayrshire,1
2021-02-02,East Dunbartonshire,1
2021-02-02,East Lothian,0
2021-02-02,East Renfrewshire,1
2021-02-02,Falkirk,2
2021-02-02,Fife,1
2021-02-02,Glasgow City,4
2021-02-02,Highland,0
2021-02-02,Inverclyde,1
2021-02-02,Midlothian,0
2021-02-02,Moray,0
2021-02-02,Na h-Eileanan Siar,0
2021-02-02,North Ayrshire,2
2021-02-02,North Lanarkshire,3
2021-02-02,Orkney Islands,0
2021-02-02,Perth & Kinross,1
2021-02-02,Renfrewshire,2
2021-02-02,Scottish Borders,1
2021-02-02,Shetland Islands,0
2021-02-02,South Ayrshire,1
2021-02-02,South Lanarkshire,3
2021-02-02,Stirling,1
2021-02-02,West Dunbartonshire,1
2021-02-02,West Lothian,1
2021-02-03,Aberdeen City,0
2021-02-03,Aberdeenshire,0
2021-02-03,Angus,1
2021-02-03,Argyll & Bute,1
2021-02-03,City of Edinburgh,2
2021-02-03,Clackmannanshire,1
2021-02-03,Dumfries & Galloway,0
2021-02-03,Dundee City,0
2021-02-03,East Ayrshire,1
2021-02-03,East Dunbartonshire,1
2021-02-03,East Lothian,0
2021-02-03,East Renfrewshire,1
2021-02-03,Falkirk,2
2021-02-03,Fife,0
2021-02-03,Glasgow City,3
2021-02-03,Highland,0
2021-02-03,Inverclyde,2
2021-02-03,Midlothian,0
2021-02-03,Moray,0
2021-02-03,Na h-Eileanan Siar,0
2021-02-03,North Ayrshire,2
2021-02-03,North Lanarkshire,2
2021-02-03,Orkney Islands,0
2021-02-03,Perth & Kinross,1
2021-02-03,Renfrewshire,2
2021-02-03,Scottish Borders,0
2021-02-03,Shetland Islands,0
2021-02-03,South Ayrshire,2
2021-02-03,South Lanarkshire,3
2021-02-03,Stirling,1
2021-02-03,West Dunbartonshire,1
2021-02-03,West Lothian,1
2021-02-04,Aberdeen City,0
2021-02-04,Aberdeenshire,0
2021-02-04,Angus,1
2021-02-04,Argyll & Bute,1
2021-02-04,City of Edinburgh,2
2021-02-04,Clackmannanshire,1
2021-02-04,Dumfries & Galloway,0
2021-02-04,Dundee City,0
2021-02-04,East Ayrshire,1
2021-02-04,East Dunbartonshire,1
2021-02-04,East Lothian,0
2021-02-04,East Renfrewshire,1
2021-02-04,Falkirk,2
2021-02-04,Fife,1
2021-02-04,Glasgow City,3
2021-02-04,Highland,1
2021-02-04,Inverclyde,1
2021-02-04,Midlothian,0
2021-02-04,Moray,0
2021-02-04,Na h-Eileanan Siar,0
2021-02-04,North Ayrshire,2
2021-02-04,North Lanarkshire,3
2021-02-04,Orkney Islands,0
2021-02-04,Perth & Kinross,2
2021-02-04,Renfrewshire,2
2021-02-04,Scottish Borders,0
2021-02-04,Shetland Islands,0
2021-02-04,South Ayrshire,1
2021-02-04,South Lanarkshire,3
2021-02-04,Stirling,1
2021-02-04,West Dunbartonshire,1
2021-02-04,West Lothian,1
2021-02-05,Aberdeen City,0
2021-02-05,Aberdeenshire,0
2021-02-05,Angus,0
2021-02-05,Argyll & Bute,1
2021-02-05,City of Edinburgh,2
2021-02-05,Clackmannanshire,1
2021-02-05,Dumfries & Galloway,1
2021-02-05,Dundee City,0
2021-02-05,East Ayrshire,1
2021-02-05,East Dunbartonshire,1
2021-02-05,East Lothian,0
2021-02-05,East Renfrewshire,1
2021-02-05,Falkirk,2
2021-02-05,Fife,1
2021-02-05,Glasgow City,3
2021-02-05,Highland,1
2021-02-05,Inverclyde,1
2021-02-05,Midlothian,0
2021-02-05,Moray,0
2021-02-05,Na h-Eileanan Siar,0
2021-02-05,North Ayrshire,2
2021-02-05,North Lanarkshire,3
2021-02-05,Orkney Islands,0
2021-02-05,Perth & Kinross,1
2021-02-05,Renfrewshire,2
2021-02-05,Scottish Borders,0
2021-02-05,Shetland Islands,0
2021-02-05,South Ayrshire,1
2021-02-05,South Lanarkshire,4
2021-02-05,Stirling,1
2021-02-05,West Dunbartonshire,1
2021-02-05,West Lothian,1
2021-02-06,Aberdeen City,0
2021-02-06,Aberdeenshire,0
2021-02-06,Angus,0
2021-02-06,Argyll & Bute,1
2021-02-06,City of Edinburgh,2
2021-02-06,Clackmannanshire,1
2021-02-06,Dumfries & Galloway,0
2021-02-06,Dundee City,0
2021-02-06,East Ayrshire,1
2021-02-06,East Dunbartonshire,1
2021-02-06,East Lothian,0
2021-02-06,East Renfrewshire,1
2021-02-06,Falkirk,2
2021-02-06,Fife,1
2021-02-06,Glasgow City,4
2021-02-06,Highland,1
2021-02-06,Inverclyde,1
2021-02-06,Midlothian,0
2021-02-06,Moray,0
2021-02-06,Na h-Eileanan Siar,0
2021-02-06,North Ayrshire,2
2021-02-06,North Lanarkshire,3
2021-02-06,Orkney Islands,0
2021-02-06,Perth & Kinross,1
2021-02-06,Renfrewshire,2
2021-02-06,Scottish Borders,0
2021-02-06,Shetland Islands,0
2021-02-06,South Ayrshire,1
2021-02-06,South Lanarkshire,3
2021-02-06,Stirling,1
2021-02-06,West Dunbartonshire,1
2021-02-06,West Lothian,1
2021-02-07,Aberdeen City,0
2021-02-07,Aberdeenshire,0
2021-02-07,Angus,0
2021-02-07,Argyll & Bute,1
2021-02-07,City of Edinburgh,1
2021-02-07,Clackmannanshire,1
2021-02-07,Dumfries & Galloway,0
2021-02-07,Dundee City,0
2021-02-07,East Ayrshire,1
2021-02-07,East Dunbartonshire,0
2021-02-07,East Lothian,0
2021-02-07,East Renfrewshire,1
2021-02-07,Falkirk,2
2021-02-07,Fife,1
2021-02-07,Glasgow City,4
2021-02-07,Highland,1
2021-02-07,Inverclyde,1
2021-02-07,Midlothian,0
2021-02-07,Moray,0
2021-02-07,Na h-Eileanan Siar,0
2021-02-07,North Ayrshire,1
2021-02-07,North Lanarkshire,3
2021-02-07,Orkney Islands,0
2021-02-07,Perth & Kinross,1
2021-02-07,Renfrewshire,2
2021-02-07,Scottish Borders,0
2021-02-07,Shetland Islands,0
2021-02-07,South Ayrshire,1
2021-02-07,South Lanarkshire,3
2021-02-07,Stirling,1
2021-02-07,West Dunbartonshire,1
2021-02-07,West Lothian,1
2021-02-08,Aberdeen City,0
2021-02-08,Aberdeenshire,0
2021-02-08,Angus,1
2021-02-08,Argyll & Bute,1
2021-02-08,City of Edinburgh,1
2021-02-08,Clackmannanshire,1
2021-02-08,Dumfries & Galloway,0
2021-02-08,Dundee City,0
2021-02-08,East Ayrshire,1
2021-02-08,East Dunbartonshire,0
2021-02-08,East Lothian,0
2021-02-08,East Renfrewshire,1
2021-02-08,Falkirk,2
2021-02-08,Fife,1
2021-02-08,Glasgow City,4
2021-02-08,Highland,1
2021-02-08,Inverclyde,1
2021-02-08,Midlothian,0
2021-02-08,Moray,0
2021-02-08,Na h-Eileanan Siar,0
2021-02-08,North Ayrshire,2
2021-02-08,North Lanarkshire,2
2021-02-08,Orkney Islands,0
2021-02-08,Perth & Kinross,1
2021-02-08,Renfrewshire,2
2021-02-08,Scottish Borders,0
2021-02-08,Shetland Islands,0
2021-02-08,South Ayrshire,1
2021-02-08,South Lanarkshire,3
2021-02-08,Stirling,1
2021-02-08,West Dunbartonshire,1
2021-02-08,West Lothian,1
2021-02-09,Aberdeen City,0
2021-02-09,Aberdeenshire,0
2021-02-09,Angus,1
2021-02-09,Argyll & Bute,0
2021-02-09,City of Edinburgh,1
2021-02-09,Clackmannanshire,0
2021-02-09,Dumfries & Galloway,0
2021-02-09,Dundee City,1
2021-02-09,East Ayrshire,1
2021-02-09,East Dunbartonshire,1
2021-02-09,East Lothian,1
2021-02-09,East Renfrewshire,1
2021-02-09,Falkirk,2
2021-02-09,Fife,1
2021-02-09,Glasgow City,3
2021-02-09,Highland,1
2021-02-09,Inverclyde,1
2021-02-09,Midlothian,0
2021-02-09,Moray,0
2021-02-09,Na h-Eileanan Siar,0
2021-02-09,North Ayrshire,2
2021-02-09,North Lanarkshire,2
2021-02-09,Orkney Islands,0
2021-02-09,Perth & Kinross,1
2021-02-09,Renfrewshire,2
2021-02-09,Scottish Borders,0
2021-02-09,Shetland Islands,0
2021-02-09,South Ayrshire,1
2021-02-09,South Lanarkshire,3
2021-02-09,Stirling,1
2021-02-09,West Dunbartonshire,1
2021-02-09,West Lothian,1
2021-02-10,Aberdeen City,0
2021-02-10,Aberdeenshire,0
2021-02-10,Angus,0
2021-02-10,Argyll & Bute,0
2021-02-10,City of Edinburgh,1
2021-02-10,Clackmannanshire,0
2021-02-10,Dumfries & Galloway,0
2021-02-10,Dundee City,1
2021-02-10,East Ayrshire,0
2021-02-10,East Dunbartonshire,0
2021-02-10,East Lothian,1
2021-02-10,East Renfrewshire,1
2021-02-10,Falkirk,2
2021-02-10,Fife,1
2021-02-10,Glasgow City,3
2021-02-10,Highland,1
2021-02-10,Inverclyde,0
2021-02-10,Midlothian,0
2021-02-10,Moray,0
2021-02-10,Na h-Eileanan Siar,0
2021-02-10,North Ayrshire,1
2021-02-10,North Lanarkshire,3
2021-02-10,Orkney Islands,0
2021-02-10,Perth & Kinross,1
2021-02-10,Renfrewshire,2
2021-02-10,Scottish Borders,0
2021-02-10,Shetland Islands,0
2021-02-10,South Ayrshire,0
2021-02-10,South Lanarkshire,2
2021-02-10,Stirling,1
2021-02-10,West Dunbartonshire,1
2021-02-10,West Lothian,1
2021-02-11,Aberdeen City,0
2021-02-11,Aberdeenshire,0
2021-02-11,Angus,0
2021-02-11,Argyll & Bute,0
2021-02-11,City of Edinburgh,1
2021-02-11,Clackmannanshire,1
2021-02-11,Dumfries & Galloway,0
2021-02-11,Dundee City,0
2021-02-11,East Ayrshire,0
2021-02-11,East Dunbartonshire,0
2021-02-11,East Lothian,1
2021-02-11,East Renfrewshire,0
2021-02-11,Falkirk,2
2021-02-11,Fife,1
2021-02-11,Glasgow City,3
2021-02-11,Highland,1
2021-02-11,Inverclyde,1
2021-02-11,Midlothian,0
2021-02-11,Moray,0
2021-02-11,Na h-Eileanan Siar,0
2021-02-11,North Ayrshire,1
2021-02-11,North Lanarkshire,2
2021-02-11,Orkney Islands,0
2021-02-11,Perth & Kinross,1
2021-02-11,Renfrewshire,2
2021-02-11,Scottish Borders,0
2021-02-11,Shetland Islands,0
2021-02-11,South Ayrshire,1
2021-02-11,South Lanarkshire,2
2021-02-11,Stirling,1
2021-02-11,West Dunbartonshire,1
2021-02-11,West Lothian,1
2021-02-12,Aberdeen City,0
2021-02-12,Aberdeenshire,0
2021-02-12,Angus,1
2021-02-12,Argyll & Bute,0
2021-02-12,City of Edinburgh,1
2021-02-12,Clackmannanshire,1
2021-02-12,Dumfries & Galloway,0
2021-02-12,Dundee City,0
2021-02-12,East Ayrshire,1
2021-02-12,East Dunbartonshire,0
2021-02-12,East Lothian,1
2021-02-12,East Renfrewshire,0
2021-02-12,Falkirk,2
2021-02-12,Fife,1
2021-02-12,Glasgow City,2
2021-02-12,Highland,0
2021-02-12,Inverclyde,1
2021-02-12,Midlothian,0
2021-02-12,Moray,0
2021-02-12,Na h-Eileanan Siar,0
2021-02-12,North Ayrshire,1
2021-02-12,North Lanarkshire,2
2021-02-12,Orkney Islands,0
2021-02-12,Perth & Kinross,1
2021-02-12,Renfrewshire,1
2021-02-12,Scottish Borders,0
2021-02-12,Shetland Islands,0
2021-02-12,South Ayrshire,1
2021-02-12,South Lanarkshire,1
2021-02-12,Stirling,1
2021-02-12,West Dunbartonshire,1
2021-02-12,West Lothian,1
2021-02-13,Aberdeen City,0
2021-02-13,Aberdeenshire,0
2021-02-13,Angus,1
2021-02-13,Argyll & Bute,0
2021-02-13,City of Edinburgh,1
2021-02-13,Clackmannanshire,1
2021-02-13,Dumfries & Galloway,0
2021-02-13,Dundee City,1
2021-02-13,East Ayrshire,0
2021-02-13,East Dunbartonshire,0
2021-02-13,East Lothian,1
2021-02-13,East Renfrewshire,0
2021-02-13,Falkirk,2
2021-02-13,Fife,0
2021-02-13,Glasgow City,2
2021-02-13,Highland,0
2021-02-13,Inverclyde,1
2021-02-13,Midlothian,0
2021-02-13,Moray,0
2021-02-13,Na h-Eileanan Siar,0
2021-02-13,North Ayrshire,1
2021-02-13,North Lanarkshire,2
2021-02-13,Orkney Islands,0
2021-02-13,Perth & Kinross,0
2021-02-13,Renfrewshire,1
2021-02-13,Scottish Borders,0
2021-02-13,Shetland Islands,0
2021-02-13,South Ayrshire,0
2021-02-13,South Lanarkshire,1
2021-02-13,Stirling,1
2021-02-13,West Dunbartonshire,1
2021-02-13,West Lothian,0
2021-02-14,Aberdeen City,0
2021-02-14,Aberdeenshire,1
2021-02-14,Angus,0
2021-02-14,Argyll & Bute,0
2021-02-14,City of Edinburgh,2
2021-02-14,Clackmannanshire,1
2021-02-14,Dumfries & Galloway,0
2021-02-14,Dundee City,0
2021-02-14,East Ayrshire,0
2021-02-14,East Dunbartonshire,0
2021-02-14,East Lothian,1
2021-02-14,East Renfrewshire,0
2021-02-14,Falkirk,2
2021-02-14,Fife,0
2021-02-14,Glasgow City,1
2021-02-14,Highland,0
2021-02-14,Inverclyde,1
2021-02-14,Midlothian,0
2021-02-14,Moray,0
2021-02-14,Na h-Eileanan Siar,0
2021-02-14,North Ayrshire,1
2021-02-14,North Lanarkshire,2
2021-02-14,Orkney Islands,0
2021-02-14,Perth & Kinross,0
2021-02-14,Renfrewshire,0
2021-02-14,Scottish Borders,0
2021-02-14,Shetland Islands,0
2021-02-14,South Ayrshire,0
2021-02-14,South Lanarkshire,1
2021-02-14,Stirling,1
2021-02-14,West Dunbartonshire,1
2021-02-14,West Lothian,0
2021-02-15,Aberdeen City,0
2021-02-15,Aberdeenshire,1
2021-02-15,Angus,0
2021-02-15,Argyll & Bute,0
2021-02-15,City of Edinburgh,2
2021-02-15,Clackmannanshire,1
2021-02-15,Dumfries & Galloway,0
2021-02-15,Dundee City,0
2021-02-15,East Ayrshire,0
2021-02-15,East Dunbartonshire,0
2021-02-15,East Lothian,1
2021-02-15,East Renfrewshire,0
2021-02-15,Falkirk,2
2021-02-15,Fife,0
2021-02-15,Glasgow City,1
2021-02-15,Highland,1
2021-02-15,Inverclyde,1
2021-02-15,Midlothian,0
2021-02-15,Moray,0
2021-02-15,Na h-Eileanan Siar,0
2021-02-15,North Ayrshire,0
2021-02-15,North Lanarkshire,2
2021-02-15,Orkney Islands,0
2021-02-15,Perth & Kinross,0
2021-02-15,Renfrewshire,0
2021-02-15,Scottish Borders,0
2021-02-15,Shetland Islands,0
2021-02-15,South Ayrshire,0
2021-02-15,South Lanarkshire,1
2021-02-15,Stirling,0
2021-02-15,West Dunbartonshire,1
2021-02-15,West Lothian,0
2021-02-16,Aberdeen City,0
2021-02-16,Aberdeenshire,1
2021-02-16,Angus,0
2021-02-16,Argyll & Bute,0
2021-02-16,City of Edinburgh,2
2021-02-16,Clackmannanshire,1
2021-02-16,Dumfries & Galloway,0
2021-02-16,Dundee City,0
2021-02-16,East Ayrshire,1
2021-02-16,East Dunbartonshire,0
2021-02-16,East Lothian,1
2021-02-16,East Renfrewshire,0
2021-02-16,Falkirk,2
2021-02-16,Fife,1
2021-02-16,Glasgow City,1
2021-02-16,Highland,1
2021-02-16,Inverclyde,0
2021-02-16,Midlothian,0
2021-02-16,Moray,0
2021-02-16,Na h-Eileanan Siar,0
2021-02-16,North Ayrshire,0
2021-02-16,North Lanarkshire,2
2021-02-16,Orkney Islands,0
2021-02-16,Perth & Kinross,0
2021-02-16,Renfrewshire,0
2021-02-16,Scottish Borders,0
2021-02-16,Shetland Islands,0
2021-02-16,South Ayrshire,0
2021-02-16,South Lanarkshire,1
2021-02-16,Stirling,0
2021-02-16,West Dunbartonshire,0
2021-02-16,West Lothian,1
2021-02-17,Aberdeen City,0
2021-02-17,Aberdeenshire,0
2021-02-17,Angus,0
2021-02-17,Argyll & Bute,0
2021-02-17,City of Edinburgh,2
2021-02-17,Clackmannanshire,1
2021-02-17,Dumfries & Galloway,0
2021-02-17,Dundee City,0
2021-02-17,East Ayrshire,1
2021-02-17,East Dunbartonshire,0
2021-02-17,East Lothian,0
2021-02-17,East Renfrewshire,0
2021-02-17,Falkirk,2
2021-02-17,Fife,0
2021-02-17,Glasgow City,1
2021-02-17,Highland,1
2021-02-17,Inverclyde,0
2021-02-17,Midlothian,0
2021-02-17,Moray,0
2021-02-17,Na h-Eileanan Siar,0
2021-02-17,North Ayrshire,0
2021-02-17,North Lanarkshire,2
2021-02-17,Orkney Islands,0
2021-02-17,Perth & Kinross,0
2021-02-17,Renfrewshire,1
2021-02-17,Scottish Borders,0
2021-02-17,Shetland Islands,0
2021-02-17,South Ayrshire,0
2021-02-17,South Lanarkshire,1
2021-02-17,Stirling,0
2021-02-17,West Dunbartonshire,0
2021-02-17,West Lothian,0
2021-02-18,Aberdeen City,0
2021-02-18,Aberdeenshire,0
2021-02-18,Angus,0
2021-02-18,Argyll & Bute,0
2021-02-18,City of Edinburgh,1
2021-02-18,Clackmannanshire,0
2021-02-18,Dumfries & Galloway,0
2021-02-18,Dundee City,0
2021-02-18,East Ayrshire,0
2021-02-18,East Dunbartonshire,0
2021-02-18,East Lothian,1
2021-02-18,East Renfrewshire,0
2021-02-18,Falkirk,1
2021-02-18,Fife,0
2021-02-18,Glasgow City,1
2021-02-18,Highland,0
2021-02-18,Inverclyde,0
2021-02-18,Midlothian,0
2021-02-18,Moray,0
2021-02-18,Na h-Eileanan Siar,0
2021-02-18,North Ayrshire,1
2021-02-18,North Lanarkshire,2
2021-02-18,Orkney Islands,0
2021-02-18,Perth & Kinross,0
2021-02-18,Renfrewshire,1
2021-02-18,Scottish Borders,0
2021-02-18,Shetland Islands,0
2021-02-18,South Ayrshire,0
2021-02-18,South Lanarkshire,1
2021-02-18,Stirling,0
2021-02-18,West Dunbartonshire,0
2021-02-18,West Lothian,0
2021-02-19,Aberdeen City,0
2021-02-19,Aberdeenshire,0
2021-02-19,Angus,0
2021-02-19,Argyll & Bute,0
2021-02-19,City of Edinburgh,1
2021-02-19,Clackmannanshire,0
2021-02-19,Dumfries & Galloway,0
2021-02-19,Dundee City,0
2021-02-19,East Ayrshire,0
2021-02-19,East Dunbartonshire,0
2021-02-19,East Lothian,1
2021-02-19,East Renfrewshire,0
2021-02-19,Falkirk,1
2021-02-19,Fife,0
2021-02-19,Glasgow City,1
2021-02-19,Highland,1
2021-02-19,Inverclyde,0
2021-02-19,Midlothian,0
2021-02-19,Moray,0
2021-02-19,Na h-Eileanan Siar,0
2021-02-19,North Ayrshire,1
2021-02-19,North Lanarkshire,2
2021-02-19,Orkney Islands,0
2021-02-19,Perth & Kinross,0
2021-02-19,Renfrewshire,1
2021-02-19,Scottish Borders,0
2021-02-19,Shetland Islands,0
2021-02-19,South Ayrshire,0
2021-02-19,South Lanarkshire,1
2021-02-19,Stirling,1
2021-02-19,West Dunbartonshire,0
2021-02-19,West Lothian,0
2021-02-20,Aberdeen City,0
2021-02-20,Aberdeenshire,0
2021-02-20,Angus,0
2021-02-20,Argyll & Bute,0
2021-02-20,City of Edinburgh,1
2021-02-20,Clackmannanshire,0
2021-02-20,Dumfries & Galloway,0
2021-02-20,Dundee City,0
2021-02-20,East Ayrshire,0
2021-02-20,East Dunbartonshire,0
2021-02-20,East Lothian,1
2021-02-20,East Renfrewshire,0
2021-02-20,Falkirk,1
2021-02-20,Fife,0
2021-02-20,Glasgow City,1
2021-02-20,Highland,1
2021-02-20,Inverclyde,1
2021-02-20,Midlothian,0
2021-02-20,Moray,0
2021-02-20,Na h-Eileanan Siar,0
2021-02-20,North Ayrshire,1
2021-02-20,North Lanarkshire,1
2021-02-20,Orkney Islands,0
2021-02-20,Perth & Kinross,0
2021-02-20,Renfrewshire,0
2021-02-20,Scottish Borders,0
2021-02-20,Shetland Islands,0
2021-02-20,South Ayrshire,0
2021-02-20,South Lanarkshire,1
2021-02-20,Stirling,0
2021-02-20,West Dunbartonshire,0
2021-02-20,West Lothian,0
2021-02-21,Aberdeen City,0
2021-02-21,Aberdeenshire,0
2021-02-21,Angus,0
2021-02-21,Argyll & Bute,0
2021-02-21,City of Edinburgh,1
2021-02-21,Clackmannanshire,0
2021-02-21,Dumfries & Galloway,0
2021-02-21,Dundee City,0
2021-02-21,East Ayrshire,0
2021-02-21,East Dunbartonshire,0
2021-02-21,East Lothian,1
2021-02-21,East Renfrewshire,0
2021-02-21,Falkirk,1
2021-02-21,Fife,0
2021-02-21,Glasgow City,1
2021-02-21,Highland,1
2021-02-21,Inverclyde,1
2021-02-21,Midlothian,0
2021-02-21,Moray,0
2021-02-21,Na h-Eileanan Siar,0
2021-02-21,North Ayrshire,1
2021-02-21,North Lanarkshire,1
2021-02-21,Orkney Islands,0
2021-02-21,Perth & Kinross,0
2021-02-21,Renfrewshire,1
2021-02-21,Scottish Borders,0
2021-02-21,Shetland Islands,0
2021-02-21,South Ayrshire,0
2021-02-21,South Lanarkshire,1
2021-02-21,Stirling,0
2021-02-21,West Dunbartonshire,0
2021-02-21,West Lothian,0
2021-02-22,Aberdeen City,0
2021-02-22,Aberdeenshire,0
2021-02-22,Angus,0
2021-02-22,Argyll & Bute,0
2021-02-22,City of Edinburgh,1
2021-02-22,Clackmannanshire,0
2021-02-22,Dumfries & Galloway,0
2021-02-22,Dundee City,0
2021-02-22,East Ayrshire,0
2021-02-22,East Dunbartonshire,0
2021-02-22,East Lothian,0
2021-02-22,East Renfrewshire,0
2021-02-22,Falkirk,1
2021-02-22,Fife,0
2021-02-22,Glasgow City,1
2021-02-22,Highland,0
2021-02-22,Inverclyde,1
2021-02-22,Midlothian,0
2021-02-22,Moray,0
2021-02-22,Na h-Eileanan Siar,0
2021-02-22,North Ayrshire,1
2021-02-22,North Lanarkshire,1
2021-02-22,Orkney Islands,0
2021-02-22,Perth & Kinross,0
2021-02-22,Renfrewshire,1
2021-02-22,Scottish Borders,0
2021-02-22,Shetland Islands,0
2021-02-22,South Ayrshire,0
2021-02-22,South Lanarkshire,1
2021-02-22,Stirling,1
2021-02-22,West Dunbartonshire,0
2021-02-22,West Lothian,0
2021-02-23,Aberdeen City,0
2021-02-23,Aberdeenshire,0
2021-02-23,Angus,0
2021-02-23,Argyll & Bute,0
2021-02-23,City of Edinburgh,1
2021-02-23,Clackmannanshire,0
2021-02-23,Dumfries & Galloway,0
2021-02-23,Dundee City,0
2021-02-23,East Ayrshire,0
2021-02-23,East Dunbartonshire,0
2021-02-23,East Lothian,0
2021-02-23,East Renfrewshire,0
2021-02-23,Falkirk,1
2021-02-23,Fife,0
2021-02-23,Glasgow City,1
2021-02-23,Highland,0
2021-02-23,Inverclyde,1
2021-02-23,Midlothian,0
2021-02-23,Moray,0
2021-02-23,Na h-Eileanan Siar,0
2021-02-23,North Ayrshire,1
2021-02-23,North Lanarkshire,1
2021-02-23,Orkney Islands,0
2021-02-23,Perth & Kinross,0
2021-02-23,Renfrewshire,1
2021-02-23,Scottish Borders,0
2021-02-23,Shetland Islands,0
2021-02-23,South Ayrshire,0
2021-02-23,South Lanarkshire,1
2021-02-23,Stirling,0
2021-02-23,West Dunbartonshire,0
2021-02-23,West Lothian,0
2021-02-24,Aberdeen City,0
2021-02-24,Aberdeenshire,0
2021-02-24,Angus,0
2021-02-24,Argyll & Bute,0
2021-02-24,City of Edinburgh,1
2021-02-24,Clackmannanshire,0
2021-02-24,Dumfries & Galloway,0
2021-02-24,Dundee City,0
2021-02-24,East Ayrshire,0
2021-02-24,East Dunbartonshire,0
2021-02-24,East Lothian,0
2021-02-24,East Renfrewshire,0
2021-02-24,Falkirk,1
2021-02-24,Fife,0
2021-02-24,Glasgow City,1
2021-02-24,Highland,0
2021-02-24,Inverclyde,1
2021-02-24,Midlothian,0
2021-02-24,Moray,0
2021-02-24,Na h-Eileanan Siar,0
2021-02-24,North Ayrshire,1
2021-02-24,North Lanarkshire,1
2021-02-24,Orkney Islands,0
2021-02-24,Perth & Kinross,0
2021-02-24,Renfrewshire,0
2021-02-24,Scottish Borders,0
2021-02-24,Shetland Islands,0
2021-02-24,South Ayrshire,0
2021-02-24,South Lanarkshire,1
2021-02-24,Stirling,0
2021-02-24,West Dunbartonshire,0
2021-02-24,West Lothian,0
2021-02-25,Aberdeen City,0
2021-02-25,Aberdeenshire,0
2021-02-25,Angus,0
2021-02-25,Argyll & Bute,0
2021-02-25,City of Edinburgh,1
2021-02-25,Clackmannanshire,0
2021-02-25,Dumfries & Galloway,0
2021-02-25,Dundee City,0
2021-02-25,East Ayrshire,0
2021-02-25,East Dunbartonshire,0
2021-02-25,East Lothian,0
2021-02-25,East Renfrewshire,0
2021-02-25,Falkirk,1
2021-02-25,Fife,0
2021-02-25,Glasgow City,1
2021-02-25,Highland,0
2021-02-25,Inverclyde,1
2021-02-25,Midlothian,0
2021-02-25,Moray,0
2021-02-25,Na h-Eileanan Siar,0
2021-02-25,North Ayrshire,0
2021-02-25,North Lanarkshire,1
2021-02-25,Orkney Islands,0
2021-02-25,Perth & Kinross,0
2021-02-25,Renfrewshire,0
2021-02-25,Scottish Borders,0
2021-02-25,Shetland Islands,0
2021-02-25,South Ayrshire,0
2021-02-25,South Lanarkshire,1
2021-02-25,Stirling,0
2021-02-25,West Dunbartonshire,0
2021-02-25,West Lothian,0
2021-02-26,Aberdeen City,0
2021-02-26,Aberdeenshire,0
2021-02-26,Angus,0
2021-02-26,Argyll & Bute,0
2021-02-26,City of Edinburgh,1
2021-02-26,Clackmannanshire,0
2021-02-26,Dumfries & Galloway,0
2021-02-26,Dundee City,0
2021-02-26,East Ayrshire,0
