Date,Council,Deaths_per_LA
2021-01-10,Dumfries & Galloway,2
2021-01-10,Dundee City,1
2021-01-10,East Ayrshire,2
2021-01-10,East Dunbartonshire,1
2021-01-10,East Lothian,1
2021-01-10,East Renfrewshire,1
2021-01-10,Falkirk,1
2021-01-10,Fife,4
2021-01-10,Glasgow City,8
2021-01-10,Highland,2
2021-01-10,Inverclyde,2
2021-01-10,Midlothian,1
2021-01-10,Moray,1
2021-01-10,Na h-Eileanan Siar,0
2021-01-10,North Ayrshire,3
2021-01-10,North Lanarkshire,7
2021-01-10,Orkney Islands,0
2021-01-10,Perth & Kinross,3
2021-01-10,Renfrewshire,1
2021-01-10,Scottish Borders,1
2021-01-10,Shetland Islands,0
2021-01-10,South Ayrshire,2
2021-01-10,South Lanarkshire,4
2021-01-10,Stirling,1
2021-01-10,West Dunbartonshire,0
2021-01-10,West Lothian,1
2021-01-11,Aberdeen City,2
2021-01-11,Aberdeenshire,2
2021-01-11,Angus,2
2021-01-11,Argyll & Bute,0
2021-01-11,City of Edinburgh,5
2021-01-11,Clackmannanshire,1
2021-01-11,Dumfries & Galloway,3
2021-01-11,Dundee City,1
2021-01-11,East Ayrshire,2
2021-01-11,East Dunbartonshire,1
2021-01-11,East Lothian,1
2021-01-11,East Renfrewshire,1
2021-01-11,Falkirk,1
2021-01-11,Fife,4
2021-01-11,Glasgow City,8
2021-01-11,Highland,2
2021-01-11,Inverclyde,1
2021-01-11,Midlothian,1
2021-01-11,Moray,1
2021-01-11,Na h-Eileanan Siar,0
2021-01-11,North Ayrshire,3
2021-01-11,North Lanarkshire,7
2021-01-11,Orkney Islands,0
2021-01-11,Perth & Kinross,2
2021-01-11,Renfrewshire,1
2021-01-11,Scottish Borders,1
2021-01-11,Shetland Islands,0
2021-01-11,South Ayrshire,2
2021-01-11,South Lanarkshire,5
2021-01-11,Stirling,0
2021-01-11,West Dunbartonshire,0
2021-01-11,West Lothian,1
2021-01-12,Aberdeen City,2
2021-01-12,Aberdeenshire,2
2021-01-12,Angus,2
2021-01-12,Argyll & Bute,0
2021-01-12,City of Edinburgh,5
2021-01-12,Clackmannanshire,1
2021-01-12,Dumfries & Galloway,2
2021-01-12,Dundee City,1
2021-01-12,East Ayrshire,2
2021-01-12,East Dunbartonshire,1
2021-01-12,East Lothian,1
2021-01-12,East Renfrewshire,1
2021-01-12,Falkirk,1
2021-01-12,Fife,4
2021-01-12,Glasgow City,8
2021-01-12,Highland,2
2021-01-12,Inverclyde,1
2021-01-12,Midlothian,1
2021-01-12,Moray,0
2021-01-12,Na h-Eileanan Siar,0
2021-01-12,North Ayrshire,3
2021-01-12,North Lanarkshire,6
2021-01-12,Orkney Islands,0
2021-01-12,Perth & Kinross,2
2021-01-12,Renfrewshire,1
2021-01-12,Scottish Borders,2
2021-01-12,Shetland Islands,0
2021-01-12,South Ayrshire,2
2021-01-12,South Lanarkshire,4
2021-01-12,Stirling,1
2021-01-12,West Dunbartonshire,0
2021-01-12,West Lothian,1
2021-01-13,Aberdeen City,2
2021-01-13,Aberdeenshire,2
2021-01-13,Angus,2
2021-01-13,Argyll & Bute,0
2021-01-13,City of Edinburgh,4
2021-01-13,Clackmannanshire,1
2021-01-13,Dumfries & Galloway,2
2021-01-13,Dundee City,1
2021-01-13,East Ayrshire,2
2021-01-13,East Dunbartonshire,1
2021-01-13,East Lothian,1
2021-01-13,East Renfrewshire,1
2021-01-13,Falkirk,2
2021-01-13,Fife,4
2021-01-13,Glasgow City,8
2021-01-13,Highland,2
2021-01-13,Inverclyde,1
2021-01-13,Midlothian,1
2021-01-13,Moray,0
2021-01-13,Na h-Eileanan Siar,0
2021-01-13,North Ayrshire,2
2021-01-13,North Lanarkshire,6
2021-01-13,Orkney Islands,0
2021-01-13,Perth & Kinross,2
2021-01-13,Renfrewshire,2
2021-01-13,Scottish Borders,1
2021-01-13,Shetland Islands,0
2021-01-13,South Ayrshire,2
2021-01-13,South Lanarkshire,5
2021-01-13,Stirling,1
2021-01-13,West Dunbartonshire,0
2021-01-13,West Lothian,1
2021-01-14,Aberdeen City,2
2021-01-14,Aberdeenshire,2
2021-01-14,Angus,2
