Date,Council,Vaccinations_per_LA
2021-02-19,Orkney Islands,2347
2021-02-19,Perth and Kinross,14466
2021-02-19,Renfrewshire,16395
2021-02-19,Scottish Borders,11440
2021-02-19,Shetland Islands,2239
2021-02-19,South Ayrshire,11180
2021-02-19,South Lanarkshire,24492
2021-02-19,Stirling,8538
2021-02-19,West Dunbartonshire,8171
2021-02-19,West Lothian,10670
2021-02-20,Aberdeen City,18653
2021-02-20,Aberdeenshire,23361
2021-02-20,Angus,12589
2021-02-20,Argyll and Bute,10120
2021-02-20,City of Edinburgh,36409
2021-02-20,Clackmannanshire,4883
2021-02-20,Dumfries and Galloway,17238
2021-02-20,Dundee City,15180
2021-02-20,East Ayrshire,11407
2021-02-20,East Dunbartonshire,10214
2021-02-20,East Lothian,9897
2021-02-20,East Renfrewshire,9114
2021-02-20,Falkirk,12450
2021-02-20,Fife,30131
2021-02-20,Glasgow City,48419
2021-02-20,Highland,26516
2021-02-20,Inverclyde,8563
2021-02-20,Midlothian,8556
2021-02-20,Moray,8954
2021-02-20,Na h-Eileanan Siar,3707
2021-02-20,North Ayrshire,12802
2021-02-20,North Lanarkshire,25235
2021-02-20,Orkney Islands,2454
2021-02-20,Perth and Kinross,15134
2021-02-20,Renfrewshire,17280
2021-02-20,Scottish Borders,12133
2021-02-20,Shetland Islands,2381
2021-02-20,South Ayrshire,11985
2021-02-20,South Lanarkshire,25616
2021-02-20,Stirling,8985
2021-02-20,West Dunbartonshire,8731
2021-02-20,West Lothian,11329
2021-02-21,Aberdeen City,19233
2021-02-21,Aberdeenshire,24312
2021-02-21,Angus,13237
2021-02-21,Argyll and Bute,10750
2021-02-21,City of Edinburgh,38619
2021-02-21,Clackmannanshire,4978
2021-02-21,Dumfries and Galloway,17871
2021-02-21,Dundee City,15821
2021-02-21,East Ayrshire,12188
2021-02-21,East Dunbartonshire,11022
2021-02-21,East Lothian,10461
2021-02-21,East Renfrewshire,9577
2021-02-21,Falkirk,13062
2021-02-21,Fife,31487
2021-02-21,Glasgow City,50867
2021-02-21,Highland,27979
2021-02-21,Inverclyde,9090
2021-02-21,Midlothian,8959
2021-02-21,Moray,9276
2021-02-21,Na h-Eileanan Siar,3801
2021-02-21,North Ayrshire,13649
2021-02-21,North Lanarkshire,26365
2021-02-21,Orkney Islands,2566
2021-02-21,Perth and Kinross,15802
2021-02-21,Renfrewshire,18244
2021-02-21,Scottish Borders,12850
2021-02-21,Shetland Islands,2522
2021-02-21,South Ayrshire,12692
2021-02-21,South Lanarkshire,26946
2021-02-21,Stirling,9385
2021-02-21,West Dunbartonshire,9376
2021-02-21,West Lothian,12062
2021-02-22,Aberdeen City,19884
2021-02-22,Aberdeenshire,25250
2021-02-22,Angus,13865
2021-02-22,Argyll and Bute,11378
2021-02-22,City of Edinburgh,40828
2021-02-22,Clackmannanshire,5066
2021-02-22,Dumfries and Galloway,18470
2021-02-22,Dundee City,16446
2021-02-22,East Ayrshire,12953
2021-02-22,East Dunbartonshire,11900
2021-02-22,East Lothian,11025
2021-02-22,East Renfrewshire,10094
2021-02-22,Falkirk,13704
2021-02-22,Fife,32841
2021-02-22,Glasgow City,53182
2021-02-22,Highland,29408
2021-02-22,Inverclyde,9613
2021-02-22,Midlothian,9363
2021-02-22,Moray,9559
2021-02-22,Na h-Eileanan Siar,3895
2021-02-22,North Ayrshire,14437
2021-02-22,North Lanarkshire,27495
2021-02-22,Orkney Islands,2678
2021-02-22,Perth and Kinross,16470
2021-02-22,Renfrewshire,19193
2021-02-22,Scottish Borders,13567
2021-02-22,Shetland Islands,2663
2021-02-22,South Ayrshire,13305
2021-02-22,South Lanarkshire,28317
2021-02-22,Stirling,9747
2021-02-22,West Dunbartonshire,10057
2021-02-22,West Lothian,12788
2021-02-23,Aberdeen City,20599
2021-02-23,Aberdeenshire,26227
2021-02-23,Angus,14487
2021-02-23,Argyll and Bute,12018
2021-02-23,City of Edinburgh,43261
2021-02-23,Clackmannanshire,5168
2021-02-23,Dumfries and Galloway,19263
2021-02-23,Dundee City,17123
2021-02-23,East Ayrshire,13723
2021-02-23,East Dunbartonshire,12905
2021-02-23,East Lothian,11562
2021-02-23,East Renfrewshire,10673
2021-02-23,Falkirk,14408
2021-02-23,Fife,34088
2021-02-23,Glasgow City,55729
2021-02-23,Highland,30891
2021-02-23,Inverclyde,10172
2021-02-23,Midlothian,9765
2021-02-23,Moray,9885
2021-02-23,Na h-Eileanan Siar,3994
2021-02-23,North Ayrshire,15243
2021-02-23,North Lanarkshire,28608
2021-02-23,Orkney Islands,2786
2021-02-23,Perth and Kinross,17149
2021-02-23,Renfrewshire,20241
2021-02-23,Scottish Borders,14336
2021-02-23,Shetland Islands,2813
2021-02-23,South Ayrshire,13990
2021-02-23,South Lanarkshire,29716
2021-02-23,Stirling,10102
2021-02-23,West Dunbartonshire,10766
2021-02-23,West Lothian,13532
2021-02-24,Aberdeen City,21494
2021-02-24,Aberdeenshire,27336
2021-02-24,Angus,15100
2021-02-24,Argyll and Bute,12678
2021-02-24,City of Edinburgh,45846
2021-02-24,Clackmannanshire,5276
2021-02-24,Dumfries and Galloway,20228
2021-02-24,Dundee City,17819
2021-02-24,East Ayrshire,14542
2021-02-24,East Dunbartonshire,14003
2021-02-24,East Lothian,12118
2021-02-24,East Renfrewshire,11285
2021-02-24,Falkirk,15129
2021-02-24,Fife,35438
2021-02-24,Glasgow City,58528
2021-02-24,Highland,32508
2021-02-24,Inverclyde,10738
2021-02-24,Midlothian,10192
2021-02-24,Moray,10254
2021-02-24,Na h-Eileanan Siar,4087
2021-02-24,North Ayrshire,16069
2021-02-24,North Lanarkshire,29759
2021-02-24,Orkney Islands,2894
2021-02-24,Perth and Kinross,17862
2021-02-24,Renfrewshire,21372
2021-02-24,Scottish Borders,15069
2021-02-24,Shetland Islands,2961
2021-02-24,South Ayrshire,14751
2021-02-24,South Lanarkshire,31140
2021-02-24,Stirling,10444
2021-02-24,West Dunbartonshire,11533
2021-02-24,West Lothian,14310
2021-02-25,Aberdeen City,22523
2021-02-25,Aberdeenshire,28597
2021-02-25,Angus,15646
2021-02-25,Argyll and Bute,13300
2021-02-25,City of Edinburgh,48481
2021-02-25,Clackmannanshire,5388
2021-02-25,Dumfries and Galloway,21403
2021-02-25,Dundee City,18535
2021-02-25,East Ayrshire,15412
2021-02-25,East Dunbartonshire,15277
2021-02-25,East Lothian,12677
2021-02-25,East Renfrewshire,11970
2021-02-25,Falkirk,15930
2021-02-25,Fife,36829
2021-02-25,Glasgow City,61896
2021-02-25,Highland,34273
2021-02-25,Inverclyde,11282
2021-02-25,Midlothian,10613
2021-02-25,Moray,10667
2021-02-25,Na h-Eileanan Siar,4250
2021-02-25,North Ayrshire,16905
2021-02-25,North Lanarkshire,30942
2021-02-25,Orkney Islands,3001
2021-02-25,Perth and Kinross,18626
2021-02-25,Renfrewshire,22613
2021-02-25,Scottish Borders,15785
2021-02-25,Shetland Islands,3084
2021-02-25,South Ayrshire,15642
2021-02-25,South Lanarkshire,32560
2021-02-25,Stirling,10753
2021-02-25,West Dunbartonshire,12242
2021-02-25,West Lothian,15220
2021-02-26,Aberdeen City,23645
2021-02-26,Aberdeenshire,30067
2021-02-26,Angus,16337
2021-02-26,Argyll and Bute,14018
2021-02-26,City of Edinburgh,51269
2021-02-26,Clackmannanshire,5500
2021-02-26,Dumfries and Galloway,22835
2021-02-26,Dundee City,19395
2021-02-26,East Ayrshire,16262
2021-02-26,East Dunbartonshire,16662
2021-02-26,East Lothian,13292
2021-02-26,East Renfrewshire,12683
2021-02-26,Falkirk,16816
2021-02-26,Fife,38302
2021-02-26,Glasgow City,65871
2021-02-26,Highland,36098
2021-02-26,Inverclyde,11856
2021-02-26,Midlothian,11085
2021-02-26,Moray,11138
2021-02-26,Na h-Eileanan Siar,4476
2021-02-26,North Ayrshire,17792
2021-02-26,North Lanarkshire,32229
2021-02-26,Orkney Islands,3129
2021-02-26,Perth and Kinross,19500
2021-02-26,Renfrewshire,23923
2021-02-26,Scottish Borders,16660
2021-02-26,Shetland Islands,3222
2021-02-26,South Ayrshire,16656
2021-02-26,South Lanarkshire,34024
2021-02-26,Stirling,11049
2021-02-26,West Dunbartonshire,12981
2021-02-26,West Lothian,16249
2021-02-27,Aberdeen City,24884
2021-02-27,Aberdeenshire,31779
2021-02-27,Angus,17112
2021-02-27,Argyll and Bute,14659
2021-02-27,City of Edinburgh,54237
2021-02-27,Clackmannanshire,5607
2021-02-27,Dumfries and Galloway,24439
2021-02-27,Dundee City,20448
2021-02-27,East Ayrshire,17159
2021-02-27,East Dunbartonshire,18148
2021-02-27,East Lothian,13981
2021-02-27,East Renfrewshire,13442
2021-02-27,Falkirk,17739
2021-02-27,Fife,39825
2021-02-27,Glasgow City,70307
2021-02-27,Highland,38042
2021-02-27,Inverclyde,12493
2021-02-27,Midlothian,11587
2021-02-27,Moray,11617
2021-02-27,Na h-Eileanan Siar,4823
2021-02-27,North Ayrshire,18729
2021-02-27,North Lanarkshire,33643
2021-02-27,Orkney Islands,3289
2021-02-27,Perth and Kinross,20573
2021-02-27,Renfrewshire,25368
2021-02-27,Scottish Borders,17688
2021-02-27,Shetland Islands,3386
2021-02-27,South Ayrshire,17774
2021-02-27,South Lanarkshire,35537
2021-02-27,Stirling,11364
2021-02-27,West Dunbartonshire,13741
2021-02-27,West Lothian,17457
2021-02-28,Aberdeen City,26119
2021-02-28,Aberdeenshire,33346
2021-02-28,Angus,18199
2021-02-28,Argyll and Bute,15401
2021-02-28,City of Edinburgh,57543
2021-02-28,Clackmannanshire,5949
2021-02-28,Dumfries and Galloway,26310
2021-02-28,Dundee City,21684
2021-02-28,East Ayrshire,18204
2021-02-28,East Dunbartonshire,19511
2021-02-28,East Lothian,14684
2021-02-28,East Renfrewshire,14266
2021-02-28,Falkirk,18819
2021-02-28,Fife,41233
2021-02-28,Glasgow City,75181
2021-02-28,Highland,40133
2021-02-28,Inverclyde,13112
2021-02-28,Midlothian,12169
2021-02-28,Moray,12147
2021-02-28,Na h-Eileanan Siar,5232
2021-02-28,North Ayrshire,20000
2021-02-28,North Lanarkshire,35079
2021-02-28,Orkney Islands,3531
2021-02-28,Perth and Kinross,21854
2021-02-28,Renfrewshire,26811
2021-02-28,Scottish Borders,18971
2021-02-28,Shetland Islands,3576
2021-02-28,South Ayrshire,19171
2021-02-28,South Lanarkshire,36830
2021-02-28,Stirling,11909
2021-02-28,West Dunbartonshire,14644
2021-02-28,West Lothian,18861
2021-03-01,Aberdeen City,27327
2021-03-01,Aberdeenshire,34915
2021-03-01,Angus,19414
2021-03-01,Argyll and Bute,16299
2021-03-01,City of Edinburgh,61159
2021-03-01,Clackmannanshire,6354
2021-03-01,Dumfries and Galloway,28322
2021-03-01,Dundee City,23004
2021-03-01,East Ayrshire,19333
2021-03-01,East Dunbartonshire,20833
2021-03-01,East Lothian,15387
2021-03-01,East Renfrewshire,15044
2021-03-01,Falkirk,20107
2021-03-01,Fife,42650
2021-03-01,Glasgow City,80172
2021-03-01,Highland,42274
2021-03-01,Inverclyde,13743
2021-03-01,Midlothian,12787
2021-03-01,Moray,12718
2021-03-01,Na h-Eileanan Siar,5712
2021-03-01,North Ayrshire,21463
2021-03-01,North Lanarkshire,36778
2021-03-01,Orkney Islands,3827
2021-03-01,Perth and Kinross,23220
2021-03-01,Renfrewshire,28262
2021-03-01,Scottish Borders,20395
2021-03-01,Shetland Islands,3819
2021-03-01,South Ayrshire,20782
2021-03-01,South Lanarkshire,38203
2021-03-01,Stirling,12546
2021-03-01,West Dunbartonshire,15544
2021-03-01,West Lothian,20370
2021-03-02,Aberdeen City,28793
2021-03-02,Aberdeenshire,36707
2021-03-02,Angus,20738
2021-03-02,Argyll and Bute,17207
2021-03-02,City of Edinburgh,64790
2021-03-02,Clackmannanshire,6820
2021-03-02,Dumfries and Galloway,30395
2021-03-02,Dundee City,24400
2021-03-02,East Ayrshire,20613
2021-03-02,East Dunbartonshire,22140
2021-03-02,East Lothian,16119
2021-03-02,East Renfrewshire,16025
2021-03-02,Falkirk,21535
2021-03-02,Fife,44648
2021-03-02,Glasgow City,85332
2021-03-02,Highland,44447
2021-03-02,Inverclyde,14479
2021-03-02,Midlothian,13425
2021-03-02,Moray,13391
2021-03-02,Na h-Eileanan Siar,6199
2021-03-02,North Ayrshire,23089
2021-03-02,North Lanarkshire,38676
2021-03-02,Orkney Islands,4138
2021-03-02,Perth and Kinross,24792
2021-03-02,Renfrewshire,29801
2021-03-02,Scottish Borders,21958
2021-03-02,Shetland Islands,4107
2021-03-02,South Ayrshire,22379
2021-03-02,South Lanarkshire,39697
2021-03-02,Stirling,13315
2021-03-02,West Dunbartonshire,16521
2021-03-02,West Lothian,21993
2021-03-03,Aberdeen City,30297
2021-03-03,Aberdeenshire,38715
2021-03-03,Angus,22291
2021-03-03,Argyll and Bute,18122
2021-03-03,City of Edinburgh,68288
2021-03-03,Clackmannanshire,7344
2021-03-03,Dumfries and Galloway,32535
2021-03-03,Dundee City,25846
2021-03-03,East Ayrshire,21979
2021-03-03,East Dunbartonshire,23458
2021-03-03,East Lothian,16838
2021-03-03,East Renfrewshire,17099
2021-03-03,Falkirk,23118
2021-03-03,Fife,47029
2021-03-03,Glasgow City,90586
2021-03-03,Highland,46677
2021-03-03,Inverclyde,15333
2021-03-03,Midlothian,14057
2021-03-03,Moray,14147
2021-03-03,Na h-Eileanan Siar,6718
2021-03-03,North Ayrshire,24747
2021-03-03,North Lanarkshire,40630
2021-03-03,Orkney Islands,4443
2021-03-03,Perth and Kinross,26585
2021-03-03,Renfrewshire,31506
2021-03-03,Scottish Borders,23667
2021-03-03,Shetland Islands,4437
2021-03-03,South Ayrshire,24099
2021-03-03,South Lanarkshire,41245
2021-03-03,Stirling,14301
2021-03-03,West Dunbartonshire,17540
2021-03-03,West Lothian,23815
2021-03-04,Aberdeen City,31965
2021-03-04,Aberdeenshire,40914
2021-03-04,Angus,23996
2021-03-04,Argyll and Bute,19058
2021-03-04,City of Edinburgh,71843
2021-03-04,Clackmannanshire,7939
2021-03-04,Dumfries and Galloway,34895
2021-03-04,Dundee City,27256
2021-03-04,East Ayrshire,23410
2021-03-04,East Dunbartonshire,24954
2021-03-04,East Lothian,17640
2021-03-04,East Renfrewshire,18291
2021-03-04,Falkirk,24791
2021-03-04,Fife,49897
2021-03-04,Glasgow City,95618
2021-03-04,Highland,49007
2021-03-04,Inverclyde,16284
2021-03-04,Midlothian,14727
2021-03-04,Moray,14972
2021-03-04,Na h-Eileanan Siar,7179
2021-03-04,North Ayrshire,26586
2021-03-04,North Lanarkshire,42841
2021-03-04,Orkney Islands,4727
2021-03-04,Perth and Kinross,28423
2021-03-04,Renfrewshire,33234
2021-03-04,Scottish Borders,25498
2021-03-04,Shetland Islands,4808
2021-03-04,South Ayrshire,25821
2021-03-04,South Lanarkshire,43011
2021-03-04,Stirling,15584
2021-03-04,West Dunbartonshire,18585
2021-03-04,West Lothian,25433
2021-03-05,Aberdeen City,33701
2021-03-05,Aberdeenshire,43314
2021-03-05,Angus,25755
2021-03-05,Argyll and Bute,19888
2021-03-05,City of Edinburgh,75428
2021-03-05,Clackmannanshire,8620
2021-03-05,Dumfries and Galloway,37392
2021-03-05,Dundee City,28556
2021-03-05,East Ayrshire,24998
2021-03-05,East Dunbartonshire,26394
2021-03-05,East Lothian,18445
2021-03-05,East Renfrewshire,19562
2021-03-05,Falkirk,26516
2021-03-05,Fife,53167
2021-03-05,Glasgow City,100496
2021-03-05,Highland,51342
2021-03-05,Inverclyde,17253
2021-03-05,Midlothian,15446
2021-03-05,Moray,15857
2021-03-05,Na h-Eileanan Siar,7652
2021-03-05,North Ayrshire,28583
2021-03-05,North Lanarkshire,45297
2021-03-05,Orkney Islands,4983
2021-03-05,Perth and Kinross,30359
2021-03-05,Renfrewshire,35088
2021-03-05,Scottish Borders,27279
2021-03-05,Shetland Islands,5202
2021-03-05,South Ayrshire,27538
2021-03-05,South Lanarkshire,45012
2021-03-05,Stirling,17045
2021-03-05,West Dunbartonshire,19646
2021-03-05,West Lothian,26899
2021-03-06,Aberdeen City,35527
2021-03-06,Aberdeenshire,45849
2021-03-06,Angus,27517
2021-03-06,Argyll and Bute,20793
2021-03-06,City of Edinburgh,78866
2021-03-06,Clackmannanshire,9371
2021-03-06,Dumfries and Galloway,39982
2021-03-06,Dundee City,29788
2021-03-06,East Ayrshire,26650
2021-03-06,East Dunbartonshire,27728
2021-03-06,East Lothian,19229
2021-03-06,East Renfrewshire,20965
2021-03-06,Falkirk,28299
2021-03-06,Fife,56822
2021-03-06,Glasgow City,104931
2021-03-06,Highland,53864
2021-03-06,Inverclyde,18290
2021-03-06,Midlothian,16238
2021-03-06,Moray,16815
2021-03-06,Na h-Eileanan Siar,8073
2021-03-06,North Ayrshire,30681
2021-03-06,North Lanarkshire,48024
2021-03-06,Orkney Islands,5210
2021-03-06,Perth and Kinross,32312
2021-03-06,Renfrewshire,37051
2021-03-06,Scottish Borders,29027
2021-03-06,Shetland Islands,5585
2021-03-06,South Ayrshire,29279
2021-03-06,South Lanarkshire,47269
2021-03-06,Stirling,18566
2021-03-06,West Dunbartonshire,20760
2021-03-06,West Lothian,28213
2021-03-07,Aberdeen City,37561
2021-03-07,Aberdeenshire,48648
2021-03-07,Angus,29200
2021-03-07,Argyll and Bute,21688
2021-03-07,City of Edinburgh,82133
2021-03-07,Clackmannanshire,9981
2021-03-07,Dumfries and Galloway,42587
2021-03-07,Dundee City,30981
2021-03-07,East Ayrshire,28404
2021-03-07,East Dunbartonshire,29084
2021-03-07,East Lothian,19912
2021-03-07,East Renfrewshire,22299
2021-03-07,Falkirk,30112
2021-03-07,Fife,61002
2021-03-07,Glasgow City,109033
2021-03-07,Highland,56409
2021-03-07,Inverclyde,19343
2021-03-07,Midlothian,16965
2021-03-07,Moray,17802
2021-03-07,Na h-Eileanan Siar,8473
2021-03-07,North Ayrshire,32676
2021-03-07,North Lanarkshire,51018
2021-03-07,Orkney Islands,5408
2021-03-07,Perth and Kinross,34306
2021-03-07,Renfrewshire,39204
2021-03-07,Scottish Borders,30657
2021-03-07,Shetland Islands,5971
2021-03-07,South Ayrshire,30936
2021-03-07,South Lanarkshire,49847
2021-03-07,Stirling,19940
2021-03-07,West Dunbartonshire,21634
2021-03-07,West Lothian,29374
2021-03-08,Aberdeen City,39743
2021-03-08,Aberdeenshire,51819
2021-03-08,Angus,30777
2021-03-08,Argyll and Bute,22429
2021-03-08,City of Edinburgh,85288
2021-03-08,Clackmannanshire,10579
2021-03-08,Dumfries and Galloway,45032
2021-03-08,Dundee City,32139
2021-03-08,East Ayrshire,30260
2021-03-08,East Dunbartonshire,30424
2021-03-08,East Lothian,20634
2021-03-08,East Renfrewshire,23629
2021-03-08,Falkirk,31789
2021-03-08,Fife,65763
2021-03-08,Glasgow City,113080
2021-03-08,Highland,58904
2021-03-08,Inverclyde,20417
2021-03-08,Midlothian,17766
2021-03-08,Moray,18803
2021-03-08,Na h-Eileanan Siar,8827
2021-03-08,North Ayrshire,34676
2021-03-08,North Lanarkshire,54132
2021-03-08,Orkney Islands,5622
2021-03-08,Perth and Kinross,36369
2021-03-08,Renfrewshire,41368
2021-03-08,Scottish Borders,32210
2021-03-08,Shetland Islands,6305
2021-03-08,South Ayrshire,32535
2021-03-08,South Lanarkshire,52656
2021-03-08,Stirling,21218
2021-03-08,West Dunbartonshire,22503
2021-03-08,West Lothian,30467
2021-03-09,Aberdeen City,41743
2021-03-09,Aberdeenshire,55037
2021-03-09,Angus,32208
2021-03-09,Argyll and Bute,23158
2021-03-09,City of Edinburgh,88366
2021-03-09,Clackmannanshire,11178
2021-03-09,Dumfries and Galloway,47175
2021-03-09,Dundee City,33166
2021-03-09,East Ayrshire,31842
2021-03-09,East Dunbartonshire,31593
2021-03-09,East Lothian,21407
2021-03-09,East Renfrewshire,24673
2021-03-09,Falkirk,33320
2021-03-09,Fife,70536
2021-03-09,Glasgow City,116667
2021-03-09,Highland,61296
2021-03-09,Inverclyde,21347
2021-03-09,Midlothian,18640
2021-03-09,Moray,19776
2021-03-09,Na h-Eileanan Siar,9174
2021-03-09,North Ayrshire,36397
2021-03-09,North Lanarkshire,57254
2021-03-09,Orkney Islands,5818
2021-03-09,Perth and Kinross,38227
2021-03-09,Renfrewshire,43262
2021-03-09,Scottish Borders,33607
2021-03-09,Shetland Islands,6621
2021-03-09,South Ayrshire,34004
2021-03-09,South Lanarkshire,55495
2021-03-09,Stirling,22359
2021-03-09,West Dunbartonshire,23261
2021-03-09,West Lothian,31449
2021-03-10,Aberdeen City,43769
2021-03-10,Aberdeenshire,58203
2021-03-10,Angus,33403
2021-03-10,Argyll and Bute,23881
2021-03-10,City of Edinburgh,91462
2021-03-10,Clackmannanshire,11790
2021-03-10,Dumfries and Galloway,49105
2021-03-10,Dundee City,34151
2021-03-10,East Ayrshire,33184
2021-03-10,East Dunbartonshire,32597
2021-03-10,East Lothian,22336
2021-03-10,East Renfrewshire,25516
2021-03-10,Falkirk,34713
2021-03-10,Fife,75301
2021-03-10,Glasgow City,119767
2021-03-10,Highland,63561
2021-03-10,Inverclyde,22107
2021-03-10,Midlothian,19521
2021-03-10,Moray,20725
2021-03-10,Na h-Eileanan Siar,9504
2021-03-10,North Ayrshire,37945
2021-03-10,North Lanarkshire,60417
2021-03-10,Orkney Islands,6008
2021-03-10,Perth and Kinross,39858
2021-03-10,Renfrewshire,44804
2021-03-10,Scottish Borders,34785
2021-03-10,Shetland Islands,6916
2021-03-10,South Ayrshire,35223
2021-03-10,South Lanarkshire,58600
2021-03-10,Stirling,23279
2021-03-10,West Dunbartonshire,23894
2021-03-10,West Lothian,32244
2021-03-11,Aberdeen City,45767
2021-03-11,Aberdeenshire,61294
2021-03-11,Angus,34417
2021-03-11,Argyll and Bute,24661
2021-03-11,City of Edinburgh,94492
2021-03-11,Clackmannanshire,12381
2021-03-11,Dumfries and Galloway,50633
2021-03-11,Dundee City,35197
2021-03-11,East Ayrshire,34313
2021-03-11,East Dunbartonshire,33198
2021-03-11,East Lothian,23252
2021-03-11,East Renfrewshire,26104
2021-03-11,Falkirk,36031
2021-03-11,Fife,79963
2021-03-11,Glasgow City,122504
2021-03-11,Highland,65564
2021-03-11,Inverclyde,22705
2021-03-11,Midlothian,20340
2021-03-11,Moray,21659
2021-03-11,Na h-Eileanan Siar,9820
2021-03-11,North Ayrshire,39210
2021-03-11,North Lanarkshire,63524
2021-03-11,Orkney Islands,6203
2021-03-11,Perth and Kinross,41413
2021-03-11,Renfrewshire,46139
2021-03-11,Scottish Borders,35754
2021-03-11,Shetland Islands,7199
2021-03-11,South Ayrshire,36238
2021-03-11,South Lanarkshire,61732
2021-03-11,Stirling,23931
2021-03-11,West Dunbartonshire,24419
2021-03-11,West Lothian,33144
2021-03-12,Aberdeen City,47626
2021-03-12,Aberdeenshire,64108
2021-03-12,Angus,35281
2021-03-12,Argyll and Bute,25428
2021-03-12,City of Edinburgh,97257
2021-03-12,Clackmannanshire,12888
2021-03-12,Dumfries and Galloway,51944
2021-03-12,Dundee City,36269
2021-03-12,East Ayrshire,35252
2021-03-12,East Dunbartonshire,33663
2021-03-12,East Lothian,24229
2021-03-12,East Renfrewshire,26539
2021-03-12,Falkirk,37331
2021-03-12,Fife,84434
2021-03-12,Glasgow City,124738
2021-03-12,Highland,67456
2021-03-12,Inverclyde,23261
2021-03-12,Midlothian,21113
2021-03-12,Moray,22587
2021-03-12,Na h-Eileanan Siar,10051
2021-03-12,North Ayrshire,40208
2021-03-12,North Lanarkshire,66562
2021-03-12,Orkney Islands,6405
2021-03-12,Perth and Kinross,42765
2021-03-12,Renfrewshire,47165
2021-03-12,Scottish Borders,36525
2021-03-12,Shetland Islands,7445
2021-03-12,South Ayrshire,37074
2021-03-12,South Lanarkshire,64790
2021-03-12,Stirling,24403
2021-03-12,West Dunbartonshire,24793
2021-03-12,West Lothian,34187
2021-03-13,Aberdeen City,49289
2021-03-13,Aberdeenshire,66589
2021-03-13,Angus,36033
2021-03-13,Argyll and Bute,26111
2021-03-13,City of Edinburgh,99874
2021-03-13,Clackmannanshire,13317
2021-03-13,Dumfries and Galloway,53086
2021-03-13,Dundee City,37336
2021-03-13,East Ayrshire,36007
2021-03-13,East Dunbartonshire,33949
2021-03-13,East Lothian,25248
2021-03-13,East Renfrewshire,26757
2021-03-13,Falkirk,38536
2021-03-13,Fife,88651
2021-03-13,Glasgow City,126885
2021-03-13,Highland,69035
2021-03-13,Inverclyde,23675
2021-03-13,Midlothian,21836
2021-03-13,Moray,23507
2021-03-13,Na h-Eileanan Siar,10201
2021-03-13,North Ayrshire,41015
2021-03-13,North Lanarkshire,69482
2021-03-13,Orkney Islands,6606
2021-03-13,Perth and Kinross,43923
2021-03-13,Renfrewshire,47881
2021-03-13,Scottish Borders,37114
2021-03-13,Shetland Islands,7671
2021-03-13,South Ayrshire,37734
2021-03-13,South Lanarkshire,67824
2021-03-13,Stirling,24715
2021-03-13,West Dunbartonshire,25011
2021-03-13,West Lothian,35305
2021-03-14,Aberdeen City,50597
2021-03-14,Aberdeenshire,68779
2021-03-14,Angus,36560
2021-03-14,Argyll and Bute,26649
2021-03-14,City of Edinburgh,102245
2021-03-14,Clackmannanshire,13646
2021-03-14,Dumfries and Galloway,54009
2021-03-14,Dundee City,38420
2021-03-14,East Ayrshire,36602
2021-03-14,East Dunbartonshire,34140
2021-03-14,East Lothian,26205
2021-03-14,East Renfrewshire,26934
2021-03-14,Falkirk,39499
2021-03-14,Fife,92439
2021-03-14,Glasgow City,128751
2021-03-14,Highland,70355
2021-03-14,Inverclyde,23962
2021-03-14,Midlothian,22554
2021-03-14,Moray,24347
2021-03-14,Na h-Eileanan Siar,10365
2021-03-14,North Ayrshire,41523
2021-03-14,North Lanarkshire,72295
2021-03-14,Orkney Islands,6749
2021-03-14,Perth and Kinross,44766
2021-03-14,Renfrewshire,48214
2021-03-14,Scottish Borders,37500
2021-03-14,Shetland Islands,7921
2021-03-14,South Ayrshire,38383
2021-03-14,South Lanarkshire,70857
2021-03-14,Stirling,24952
2021-03-14,West Dunbartonshire,25222
2021-03-14,West Lothian,36428
2021-03-15,Aberdeen City,51581
2021-03-15,Aberdeenshire,70516
2021-03-15,Angus,37015
2021-03-15,Argyll and Bute,27169
2021-03-15,City of Edinburgh,104062
2021-03-15,Clackmannanshire,13859
2021-03-15,Dumfries and Galloway,54908
2021-03-15,Dundee City,39363
2021-03-15,East Ayrshire,36879
2021-03-15,East Dunbartonshire,34273
2021-03-15,East Lothian,27054
2021-03-15,East Renfrewshire,27037
2021-03-15,Falkirk,40079
2021-03-15,Fife,95448
2021-03-15,Glasgow City,130386
2021-03-15,Highland,71618
2021-03-15,Inverclyde,24256
2021-03-15,Midlothian,23026
2021-03-15,Moray,25121
2021-03-15,Na h-Eileanan Siar,10479
2021-03-15,North Ayrshire,41885
2021-03-15,North Lanarkshire,74940
2021-03-15,Orkney Islands,6790
2021-03-15,Perth and Kinross,45403
2021-03-15,Renfrewshire,48426
2021-03-15,Scottish Borders,37774
2021-03-15,Shetland Islands,8168
2021-03-15,South Ayrshire,38901
2021-03-15,South Lanarkshire,73732
2021-03-15,Stirling,25069
2021-03-15,West Dunbartonshire,25375
2021-03-15,West Lothian,37345
2021-03-16,Aberdeen City,52289
2021-03-16,Aberdeenshire,71740
2021-03-16,Angus,37493
2021-03-16,Argyll and Bute,27642
2021-03-16,City of Edinburgh,105968
2021-03-16,Clackmannanshire,13965
2021-03-16,Dumfries and Galloway,55807
2021-03-16,Dundee City,40388
2021-03-16,East Ayrshire,37232
2021-03-16,East Dunbartonshire,34398
2021-03-16,East Lothian,27860
2021-03-16,East Renfrewshire,27163
2021-03-16,Falkirk,40543
