Date,Council,Vaccinations_per_LA
2021-01-10,Clackmannanshire,407
2021-01-10,Dumfries and Galloway,897
2021-01-10,Dundee City,937
2021-01-10,East Ayrshire,610
2021-01-10,East Dunbartonshire,639
2021-01-10,East Lothian,673
2021-01-10,East Renfrewshire,585
2021-01-10,Falkirk,1194
2021-01-10,Fife,2008
2021-01-10,Glasgow City,2441
2021-01-10,Highland,683
2021-01-10,Inverclyde,359
2021-01-10,Midlothian,762
2021-01-10,Moray,324
2021-01-10,Na h-Eileanan Siar,337
2021-01-10,North Ayrshire,568
2021-01-10,North Lanarkshire,1787
2021-01-10,Orkney Islands,207
2021-01-10,Perth and Kinross,678
2021-01-10,Renfrewshire,925
2021-01-10,Scottish Borders,427
2021-01-10,Shetland Islands,61
2021-01-10,South Ayrshire,636
2021-01-10,South Lanarkshire,1624
2021-01-10,Stirling,575
2021-01-10,West Dunbartonshire,547
2021-01-10,West Lothian,1318
2021-01-11,Aberdeen City,1431
2021-01-11,Aberdeenshire,1886
2021-01-11,Angus,487
2021-01-11,Argyll and Bute,658
2021-01-11,City of Edinburgh,3762
2021-01-11,Clackmannanshire,463
2021-01-11,Dumfries and Galloway,1112
2021-01-11,Dundee City,1066
2021-01-11,East Ayrshire,698
2021-01-11,East Dunbartonshire,820
2021-01-11,East Lothian,785
2021-01-11,East Renfrewshire,730
2021-01-11,Falkirk,1366
2021-01-11,Fife,2368
2021-01-11,Glasgow City,3007
2021-01-11,Highland,834
2021-01-11,Inverclyde,453
2021-01-11,Midlothian,873
2021-01-11,Moray,421
2021-01-11,Na h-Eileanan Siar,413
2021-01-11,North Ayrshire,665
2021-01-11,North Lanarkshire,2175
2021-01-11,Orkney Islands,241
2021-01-11,Perth and Kinross,827
2021-01-11,Renfrewshire,1133
2021-01-11,Scottish Borders,611
2021-01-11,Shetland Islands,79
2021-01-11,South Ayrshire,736
2021-01-11,South Lanarkshire,2013
2021-01-11,Stirling,649
2021-01-11,West Dunbartonshire,701
2021-01-11,West Lothian,1458
2021-01-12,Aberdeen City,1761
2021-01-12,Aberdeenshire,2370
2021-01-12,Angus,621
2021-01-12,Argyll and Bute,799
2021-01-12,City of Edinburgh,4290
2021-01-12,Clackmannanshire,520
2021-01-12,Dumfries and Galloway,1365
2021-01-12,Dundee City,1216
2021-01-12,East Ayrshire,811
2021-01-12,East Dunbartonshire,1006
2021-01-12,East Lothian,906
2021-01-12,East Renfrewshire,894
2021-01-12,Falkirk,1524
2021-01-12,Fife,2755
2021-01-12,Glasgow City,3576
2021-01-12,Highland,998
2021-01-12,Inverclyde,561
2021-01-12,Midlothian,997
2021-01-12,Moray,564
2021-01-12,Na h-Eileanan Siar,485
2021-01-12,North Ayrshire,775
2021-01-12,North Lanarkshire,2569
2021-01-12,Orkney Islands,273
2021-01-12,Perth and Kinross,1008
2021-01-12,Renfrewshire,1336
2021-01-12,Scottish Borders,818
2021-01-12,Shetland Islands,100
2021-01-12,South Ayrshire,866
2021-01-12,South Lanarkshire,2417
2021-01-12,Stirling,745
2021-01-12,West Dunbartonshire,858
2021-01-12,West Lothian,1609
2021-01-13,Aberdeen City,2123
2021-01-13,Aberdeenshire,2925
2021-01-13,Angus,788
2021-01-13,Argyll and Bute,923
2021-01-13,City of Edinburgh,4900
2021-01-13,Clackmannanshire,573
2021-01-13,Dumfries and Galloway,1639
2021-01-13,Dundee City,1389
2021-01-13,East Ayrshire,945
2021-01-13,East Dunbartonshire,1197
2021-01-13,East Lothian,1055
2021-01-13,East Renfrewshire,1054
2021-01-13,Falkirk,1662
2021-01-13,Fife,3185
2021-01-13,Glasgow City,4139
2021-01-13,Highland,1198
2021-01-13,Inverclyde,696
2021-01-13,Midlothian,1151
2021-01-13,Moray,756
2021-01-13,Na h-Eileanan Siar,553
2021-01-13,North Ayrshire,893
2021-01-13,North Lanarkshire,2978
2021-01-13,Orkney Islands,316
2021-01-13,Perth and Kinross,1237
2021-01-13,Renfrewshire,1521
2021-01-13,Scottish Borders,1074
2021-01-13,Shetland Islands,126
2021-01-13,South Ayrshire,1005
2021-01-13,South Lanarkshire,2850
2021-01-13,Stirling,844
2021-01-13,West Dunbartonshire,1021
2021-01-13,West Lothian,1772
2021-01-14,Aberdeen City,2495
2021-01-14,Aberdeenshire,3545
2021-01-14,Angus,1001
2021-01-14,Argyll and Bute,1058
2021-01-14,City of Edinburgh,5532
2021-01-14,Clackmannanshire,626
2021-01-14,Dumfries and Galloway,1923
2021-01-14,Dundee City,1602
2021-01-14,East Ayrshire,1090
2021-01-14,East Dunbartonshire,1383
2021-01-14,East Lothian,1208
2021-01-14,East Renfrewshire,1216
2021-01-14,Falkirk,1815
2021-01-14,Fife,3668
2021-01-14,Glasgow City,4679
2021-01-14,Highland,1423
2021-01-14,Inverclyde,833
2021-01-14,Midlothian,1305
2021-01-14,Moray,967
2021-01-14,Na h-Eileanan Siar,621
2021-01-14,North Ayrshire,1016
2021-01-14,North Lanarkshire,3376
2021-01-14,Orkney Islands,360
2021-01-14,Perth and Kinross,1493
2021-01-14,Renfrewshire,1714
2021-01-14,Scottish Borders,1365
2021-01-14,Shetland Islands,152
2021-01-14,South Ayrshire,1146
2021-01-14,South Lanarkshire,3325
2021-01-14,Stirling,930
2021-01-14,West Dunbartonshire,1177
2021-01-14,West Lothian,1958
2021-01-15,Aberdeen City,2838
2021-01-15,Aberdeenshire,4106
2021-01-15,Angus,1225
2021-01-15,Argyll and Bute,1157
2021-01-15,City of Edinburgh,6138
2021-01-15,Clackmannanshire,675
2021-01-15,Dumfries and Galloway,2165
2021-01-15,Dundee City,1805
2021-01-15,East Ayrshire,1219
2021-01-15,East Dunbartonshire,1555
2021-01-15,East Lothian,1349
2021-01-15,East Renfrewshire,1374
2021-01-15,Falkirk,1941
2021-01-15,Fife,4121
2021-01-15,Glasgow City,5168
2021-01-15,Highland,1632
2021-01-15,Inverclyde,938
2021-01-15,Midlothian,1457
2021-01-15,Moray,1152
2021-01-15,Na h-Eileanan Siar,678
2021-01-15,North Ayrshire,1118
2021-01-15,North Lanarkshire,3768
2021-01-15,Orkney Islands,399
2021-01-15,Perth and Kinross,1745
2021-01-15,Renfrewshire,1894
2021-01-15,Scottish Borders,1655
2021-01-15,Shetland Islands,174
2021-01-15,South Ayrshire,1272
2021-01-15,South Lanarkshire,3762
2021-01-15,Stirling,1011
2021-01-15,West Dunbartonshire,1307
2021-01-15,West Lothian,2118
2021-01-16,Aberdeen City,3129
2021-01-16,Aberdeenshire,4532
2021-01-16,Angus,1444
2021-01-16,Argyll and Bute,1211
2021-01-16,City of Edinburgh,6653
