Date,AgeGroup,DailyPositive,DailyDeaths,NumberVaccinated
2021-03-24,over 60,39,2,1139318
2021-03-24,over 75,9,1,464168
2021-03-25,over 60,37,2,1145825
2021-03-25,under 60,367,0,493374
2021-03-25,over 75,9,1,464226
2021-03-26,over 60,34,2,1152361
2021-03-26,under 60,260,1,511924
2021-03-26,over 75,9,1,464449
2021-03-27,over 75,9,1,464694
2021-03-27,under 60,227,1,531048
2021-03-27,over 60,33,2,1158803
2021-03-28,over 75,9,1,465068
2021-03-28,over 60,33,2,1164896
2021-03-28,under 60,224,1,549918
2021-03-29,over 75,8,1,465539
2021-03-29,under 60,319,1,568878
2021-03-29,over 60,29,1,1170907
2021-03-30,under 60,259,1,587166
2021-03-30,over 75,8,1,466135
2021-03-30,over 60,27,1,1176883
2021-03-31,over 75,7,1,466850
2021-03-31,over 60,25,1,1182715
2021-03-31,under 60,234,1,604794
2021-04-01,over 60,22,1,1188133
2021-04-01,under 60,254,1,621230
2021-04-01,over 75,6,1,467464
2021-04-02,under 60,187,0,636864
2021-04-02,over 60,20,1,1193238
2021-04-02,over 75,5,1,468096
2021-04-03,under 60,149,0,652114
2021-04-03,over 75,5,0,468811
2021-04-03,over 60,18,1,1198217
2021-04-04,over 60,16,1,1204270
2021-04-04,under 60,155,0,667537
2021-04-04,over 75,4,0,469592
2021-04-05,over 75,4,0,470308
2021-04-05,over 60,17,1,1211296
2021-04-05,under 60,194,0,683272
2021-04-06,over 75,5,0,471108
2021-04-06,under 60,239,0,698927
2021-04-06,over 60,19,1,1221014
2021-04-07,under 60,192,0,714008
2021-04-07,over 60,19,1,1233846
2021-04-07,over 75,5,0,472007
2021-04-08,over 60,19,1,1249758
2021-04-08,over 75,5,0,472846
2021-04-08,under 60,184,0,728985
2021-04-09,under 60,184,0,743774
2021-04-09,over 75,4,1,473710
2021-04-09,over 60,18,1,1267877
2021-04-10,over 75,4,0,474442
2021-04-10,under 60,154,0,759273
2021-04-10,over 60,18,1,1287307
2021-04-11,over 75,4,1,475631
2021-04-11,under 60,142,0,777060
2021-04-11,over 60,19,1,1307759
2021-04-12,over 75,5,1,476528
2021-04-12,over 60,19,1,1327490
2021-04-12,under 60,158,0,795703
2021-04-13,over 75,4,1,477050
2021-04-13,under 60,172,0,816472
2021-04-13,over 60,17,1,1344607
2021-04-14,under 60,135,0,839532
2021-04-14,over 75,4,1,477390
2021-04-14,over 60,16,1,1358704
2021-04-15,over 75,4,1,477571
2021-04-15,over 60,17,1,1369509
2021-04-15,under 60,134,0,864674
2021-04-16,under 60,146,0,891460
2021-04-16,over 60,16,1,1377862
2021-04-16,over 75,4,0,477553
2021-04-17,under 60,127,0,918533
2021-04-17,over 60,14,1,1383705
2021-04-17,over 75,4,0,476798
2021-04-18,over 75,4,0,477822
2021-04-18,over 60,14,1,1389814
2021-04-18,under 60,113,0,945366
2021-04-19,under 60,167,0,971890
2021-04-19,over 75,3,0,478398
2021-04-19,over 60,12,0,1394586
2021-04-20,under 60,159,0,998199
2021-04-20,over 60,12,0,1398258
2021-04-20,over 75,3,0,478606
2021-04-21,under 60,148,0,1023971
2021-04-21,over 75,2,0,478768
2021-04-21,over 60,11,0,1401317
2021-04-22,over 75,2,0,479546
2021-04-22,over 60,10,0,1404876
2021-04-22,under 60,138,0,1049098
2021-04-23,over 60,10,0,1408030
2021-04-23,over 75,2,0,480242
2021-04-23,under 60,108,0,1072814
2021-04-24,over 60,10,0,1410115
2021-04-24,over 75,2,0,479968
2021-04-24,under 60,96,0,1094751
2021-04-25,over 60,9,0,1409512
2021-04-25,under 60,67,0,1114667
2021-04-25,over 75,2,0,477277
2021-04-26,under 60,115,0,1133012
2021-04-26,over 75,2,0,473834
2021-04-26,over 60,10,0,1408010
2021-04-27,over 75,2,0,469213
2021-04-27,over 60,9,0,1405449
2021-04-27,under 60,118,0,1149109
2021-04-28,over 60,9,0,1401468
2021-04-28,under 60,130,0,1163638
2021-04-28,over 75,2,0,463141
2021-04-29,over 75,2,0,455778
2021-04-29,under 60,112,0,1176538
2021-04-29,over 60,10,0,1396171
2021-04-30,under 60,107,0,1188370
2021-04-30,over 60,11,0,1390689
2021-04-30,over 75,2,0,448118
2021-05-01,over 75,2,0,440687
2021-05-01,under 60,65,0,1200615
2021-05-01,over 60,11,0,1385571
2021-05-02,under 60,79,0,1212824
2021-05-02,over 60,12,0,1383410
2021-05-02,over 75,2,0,435483
2021-05-03,under 60,105,0,1225778
2021-05-03,over 60,12,0,1379660
2021-05-03,over 75,3,0,429730
2021-05-04,under 60,121,0,1239755
2021-05-04,over 60,11,0,1375202
2021-05-04,over 75,2,0,424103
2021-05-05,over 60,13,0,1369432
2021-05-05,under 60,146,0,1253667
2021-05-05,over 75,3,0,418643
2021-05-06,under 60,148,0,1267579
2021-05-06,over 75,4,0,412664
2021-05-06,over 60,15,0,1361204
2021-05-07,under 60,119,0,1280952
2021-05-07,over 60,15,0,1349734
2021-05-07,over 75,4,0,406054
2021-05-08,under 60,117,0,1293038
2021-05-08,over 60,16,0,1334959
2021-05-08,over 75,4,0,399967
2021-05-09,over 60,15,0,1317349
2021-05-09,under 60,126,0,1304216
2021-05-09,over 75,4,0,392582
2021-05-10,over 75,4,0,386180
2021-05-10,over 60,16,0,1296947
2021-05-10,under 60,196,0,1313885
2021-05-11,over 60,18,0,1277356
2021-05-11,over 75,5,0,383097
2021-05-11,under 60,175,0,1321487
2021-05-12,over 75,5,0,381960
2021-05-12,over 60,17,1,1258771
2021-05-12,under 60,171,0,1327277
2021-05-13,under 60,166,0,1331166
2021-05-13,over 60,15,1,1241519
2021-05-13,over 75,4,1,382836
2021-05-14,under 60,186,0,1333875
2021-05-14,over 75,4,1,385625
2021-05-14,over 60,16,1,1226036
2021-05-15,over 75,4,1,390162
2021-05-15,over 60,16,1,1212773
2021-05-15,under 60,134,0,1335641
2021-05-16,under 60,150,0,1336826
2021-05-16,over 75,5,1,395312
2021-05-16,over 60,19,1,1201349
2021-05-17,under 60,207,0,1338153
2021-05-17,over 60,18,1,1195730
