Date,AgeGroup,DailyPositive,DailyDeaths,NumberVaccinated
2021-03-04,over 75,9,7,1431
2021-03-04,over 60,59,13,8903
2021-03-05,over 60,51,8,8455
2021-03-05,under 60,300,0,23943
2021-03-05,over 75,13,5,1028
2021-03-06,over 75,13,6,1553
2021-03-06,over 60,42,8,5775
2021-03-06,under 60,321,2,15000
2021-03-07,over 75,13,5,170
2021-03-07,under 60,285,1,10125
2021-03-07,over 60,39,9,2730
2021-03-08,over 75,13,9,996
2021-03-08,under 60,371,4,15008
2021-03-08,over 60,64,11,5052
2021-03-09,over 60,64,8,7058
2021-03-09,over 75,24,6,1694
2021-03-09,under 60,438,2,21410
2021-03-10,over 60,61,5,7200
2021-03-10,over 75,17,4,1736
2021-03-10,under 60,434,0,18361
2021-03-11,over 75,18,4,1552
2021-03-11,under 60,435,1,20075
2021-03-11,over 60,58,6,6719
2021-03-12,over 60,52,6,7580
2021-03-12,under 60,375,0,21262
2021-03-12,over 75,14,3,1619
2021-03-13,under 60,287,0,16193
2021-03-13,over 60,37,4,13198
2021-03-13,over 75,10,4,1925
2021-03-14,under 60,274,1,11821
2021-03-14,over 60,42,6,9905
2021-03-14,over 75,11,4,94
2021-03-15,over 75,20,1,1459
2021-03-15,over 60,65,1,24041
2021-03-15,under 60,439,0,16249
2021-03-16,over 75,12,4,2573
2021-03-16,over 60,55,10,29434
2021-03-16,under 60,335,1,19995
2021-03-17,under 60,376,0,22720
2021-03-17,over 60,50,8,30689
2021-03-17,over 75,11,4,2484
2021-03-18,under 60,333,1,27013
2021-03-18,over 75,10,0,3762
2021-03-18,over 60,48,2,25719
2021-03-19,over 75,16,2,2699
2021-03-19,over 60,49,3,19344
2021-03-19,under 60,350,3,30394
2021-03-20,over 75,10,3,5397
2021-03-20,over 60,37,5,20908
2021-03-20,under 60,284,0,34148
2021-03-21,over 75,13,3,761
2021-03-21,over 60,38,4,8537
2021-03-21,under 60,294,0,24628
2021-03-22,over 75,14,3,3095
2021-03-22,under 60,445,0,33573
2021-03-22,over 60,43,3,10381
2021-03-23,under 60,367,1,37458
2021-03-23,over 75,14,1,6367
2021-03-23,over 60,50,2,13547
2021-03-24,under 60,332,0,38226
2021-03-24,over 60,48,4,13322
2021-03-24,over 75,4,0,6783
2021-03-25,over 60,51,4,14193
2021-03-25,under 60,367,3,38329
2021-03-25,over 75,13,2,8100
2021-03-26,over 60,53,4,12698
2021-03-26,under 60,260,1,36104
2021-03-26,over 75,13,4,7742
2021-03-27,over 60,35,5,24291
2021-03-27,under 60,227,0,32883
2021-03-27,over 75,4,2,19321
2021-03-28,over 75,6,2,2360
2021-03-28,over 60,26,3,4345
2021-03-28,under 60,224,2,24088
2021-03-29,over 75,11,2,9037
2021-03-29,under 60,319,1,32940
2021-03-29,over 60,41,4,11511
2021-03-30,under 60,259,1,35131
2021-03-30,over 75,7,0,13341
2021-03-30,over 60,31,1,17106
2021-03-31,over 75,10,1,16672
2021-03-31,over 60,36,2,22578
2021-03-31,under 60,234,0,34628
2021-04-01,over 75,13,0,12513
2021-04-01,over 60,35,1,16891
2021-04-01,under 60,254,0,30095
2021-04-02,over 75,11,1,7476
2021-04-02,under 60,187,1,23130
2021-04-02,over 60,36,1,11751
2021-04-03,over 60,26,2,8397
2021-04-03,over 75,5,1,4828
2021-04-03,under 60,149,0,19758
2021-04-04,over 60,25,1,2631
2021-04-04,under 60,155,0,12501
2021-04-04,over 75,8,0,1419
2021-04-05,over 75,5,1,3301
2021-04-05,over 60,16,4,6428
2021-04-05,under 60,194,0,14768
2021-04-06,over 75,3,1,10447
2021-04-06,under 60,239,1,20611
2021-04-06,over 60,17,1,14194
2021-04-07,under 60,192,1,20215
2021-04-07,over 60,17,1,20351
2021-04-07,over 75,5,1,14516
2021-04-08,under 60,184,0,19927
2021-04-08,over 60,15,2,22193
2021-04-08,over 75,3,1,16340
2021-04-09,under 60,184,2,23318
2021-04-09,over 75,7,0,11124
2021-04-09,over 60,22,0,17318
2021-04-10,over 75,4,3,20674
2021-04-10,under 60,154,0,17975
2021-04-10,over 60,14,3,29046
2021-04-11,under 60,142,1,12978
2021-04-11,over 75,2,0,2745
2021-04-11,over 60,10,1,5975
2021-04-12,over 75,2,0,8562
2021-04-12,over 60,22,0,17916
2021-04-12,under 60,158,0,17756
2021-04-13,over 60,30,0,22354
2021-04-13,over 75,11,0,11947
2021-04-13,under 60,172,0,16932
2021-04-14,over 60,21,2,26636
2021-04-14,over 75,5,2,14005
2021-04-14,under 60,135,1,18785
2021-04-15,over 75,3,0,12664
2021-04-15,over 60,11,1,21953
2021-04-15,under 60,134,1,15827
2021-04-16,under 60,146,0,15487
2021-04-16,over 60,16,1,19361
2021-04-16,over 75,2,0,9144
2021-04-17,under 60,127,0,13844
2021-04-17,over 60,19,1,25746
2021-04-17,over 75,5,1,13789
2021-04-18,over 75,3,0,4007
2021-04-18,over 60,11,0,9584
2021-04-18,under 60,113,0,4638
2021-04-19,over 60,24,1,41595
2021-04-19,under 60,167,0,5716
2021-04-19,over 75,5,0,19015
2021-04-20,under 60,159,1,6932
2021-04-20,over 60,15,0,46855
2021-04-20,over 75,6,0,14690
2021-04-21,under 60,148,1,7750
2021-04-21,over 75,5,1,12836
2021-04-21,over 60,19,2,46466
2021-04-22,over 60,15,0,43463
2021-04-22,over 75,5,0,12047
2021-04-22,under 60,138,0,7786
2021-04-23,over 60,11,2,34687
2021-04-23,over 75,1,2,9995
2021-04-23,under 60,108,0,10036
2021-04-24,under 60,96,0,10016
2021-04-24,over 60,6,0,42334
2021-04-24,over 75,1,0,12515
2021-04-25,over 75,3,2,4995
2021-04-25,under 60,67,0,5408
2021-04-25,over 60,7,2,24654
2021-04-26,under 60,115,0,12480
2021-04-26,over 75,1,1,5731
2021-04-26,over 60,9,1,31619
2021-04-27,over 75,4,0,6794
2021-04-27,over 60,18,1,35065
2021-04-27,under 60,118,0,13107
2021-04-28,over 60,9,1,34565
2021-04-28,under 60,130,0,14293
2021-04-28,over 75,2,0,5421
2021-04-29,over 75,3,0,5595
2021-04-29,under 60,112,0,14814
2021-04-29,over 60,12,0,34010
2021-04-30,over 75,3,0,3765
2021-04-30,under 60,107,0,16284
2021-04-30,over 60,7,0,31169
2021-05-01,over 75,1,0,2794
2021-05-01,under 60,65,0,11609
2021-05-01,over 60,6,0,24843
2021-05-02,under 60,79,0,9804
2021-05-02,over 60,5,1,21804
2021-05-02,over 75,1,1,1068
2021-05-03,over 60,14,0,17820
2021-05-03,under 60,105,0,12964
2021-05-03,over 75,2,0,1290
2021-05-04,under 60,121,0,19413
2021-05-04,over 60,11,0,20539
2021-05-04,over 75,3,0,2428
2021-05-05,over 75,0,0,2616
2021-05-05,over 60,9,0,20941
2021-05-05,under 60,146,0,20853
2021-05-06,over 60,16,0,17175
2021-05-06,over 75,2,0,1417
2021-05-06,under 60,148,0,22197
2021-05-07,under 60,119,0,18969
2021-05-07,over 60,14,0,12918
2021-05-07,over 75,3,0,1018
2021-05-08,under 60,117,0,24303
2021-05-08,over 60,9,0,11710
2021-05-08,over 75,2,0,577
2021-05-09,over 60,10,0,6416
2021-05-09,under 60,126,0,18032
2021-05-09,over 75,4,0,253
2021-05-10,over 75,4,0,561
2021-05-10,over 60,13,0,7970
2021-05-10,under 60,196,0,30006
2021-05-11,under 60,175,0,33465
2021-05-11,over 60,8,0,9430
2021-05-11,over 75,2,0,887
2021-05-12,over 75,3,0,524
