_id,Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
45,20200301,S92000003,Scotland,2,3,0.0549118664543408,,0,0,0,75,282,5.16171544670803,92,2,2.1739130434782603,0,92,0,5,"",,:,2,0
46,20200302,S08000015,NHS Ayrshire & Arran,1,1,0.270738574832142,,0,0,0,8,27,7.30994152046784,10,1,10,0,10,0,,:,,:,1,0
47,20200302,S08000016,NHS Borders,0,0,0,,0,0,0,3,10,8.65725911176522,3,0,0,0,3,0,,:,,:,0,0
48,20200302,S08000017,NHS Dumfries & Galloway,0,0,0,,0,0,0,12,32,21.496708316539,13,0,0,0,13,0,,:,,:,0,0
49,20200302,S08000019,NHS Forth Valley,0,1,0.326115314375163,,0,0,0,14,41,13.3707278893817,21,0,0,0,21,0,,:,,:,0,0
50,20200302,S08000020,NHS Grampian,0,1,0.170735871606625,,0,0,0,17,32,5.46354789141199,18,0,0,0,18,0,,:,,:,0,0
51,20200302,S08000022,NHS Highland,0,0,0,,0,0,0,2,9,2.7976375505129,3,0,0,0,3,0,,:,,:,0,0
52,20200302,S08000024,NHS Lothian,0,0,0,,0,0,0,43,112,12.3405099274995,50,0,0,0,50,0,,:,,:,0,0
53,20200302,S08000025,NHS Orkney,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,:,,:,0,0
54,20200302,S08000026,NHS Shetland,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,:,,:,0,0
55,20200302,S08000028,NHS Western Isles,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,:,,:,0,0
56,20200302,S08000029,NHS Fife,0,0,0,,0,0,0,13,32,8.56645696693883,14,0,0,0,14,0,,:,,:,0,0
57,20200302,S08000030,NHS Tayside,0,1,0.239538170407454,,0,0,0,6,15,3.59307255611182,19,3,15.7894736842105,0,19,0,,:,,:,3,0
58,20200302,S08000031,NHS Greater Glasgow & Clyde,0,0,0,,0,0,0,62,126,10.6498072892014,80,0,0,0,80,0,,:,,:,0,0
59,20200302,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,27,53,8.00725185073274,33,0,0,0,33,0,,:,,:,0,0
60,20200302,S92000003,Scotland,1,4,0.073215821939121,,0,0,0,207,489,8.95063423205755,264,4,1.51515151515152,0,264,0,11,"",,:,4,0
61,20200303,S08000015,NHS Ayrshire & Arran,0,1,0.270738574832142,,0,0,0,17,44,11.9124972926143,19,0,0,0,19,0,,:,,:,0,0
62,20200303,S08000016,NHS Borders,0,0,0,,0,0,0,2,12,10.3887109341183,2,0,0,0,2,0,,:,,:,0,0
